Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2022-08-04,3,AHPC,43.11,406.0,406.0,382.2,383.0,390.29,"187,093.00",399.00,"73,020,754.50",778,-16.0,23.8,-4.01,6.23,-1.9,785.00,310.00,,
2022-08-05,3,AHPC,36.74,383.0,387.0,375.0,375.0,379.45,"143,158.00",383.00,"54,320,772.10",534,-8.0,12.0,-2.09,3.2,-1.19,785.00,310.00,,
2022-08-07,3,AHPC,31.86,375.0,385.0,374.0,379.0,378.53,"84,312.00",375.00,"31,914,332.90",420,4.0,11.0,1.07,2.94,0.12,785.00,310.00,,
2022-08-08,4,AHPC,35.11,381.0,390.0,372.0,372.0,378.87,"113,719.00",379.00,"43,085,238.70",528,-7.00,18.00,-1.85,4.84,-1.85,785.00,310.00,,
2022-08-09,3,AHPC,34.42,373.0,378.0,357.1,359.0,365.80,"146,631.00",372.00,"53,637,341.30",658,-13.0,20.9,-3.49,5.85,-1.89,785.00,310.00,,
2022-08-10,3,AHPC,30.32,359.0,369.0,356.1,360.0,362.19,"82,694.00",359.00,"29,951,061.70",476,1.0,12.90,0.28,3.62,-0.61,785.00,310.00,,
2022-08-11,4,AHPC,28.88,364.0,364.9,349.1,350.0,356.92,"86,411.00",360.00,"30,842,241.90",404,-10.00,15.80,-2.78,4.53,-1.98,785.00,310.00,,
2022-08-14,3,AHPC,24.8,348.0,357.0,345.0,345.0,348.97,"65,539.00",350.00,"22,871,184.10",308,-5.0,12.0,-1.43,3.48,-1.15,785.00,310.00,,
2022-08-15,3,AHPC,48.98,351.0,371.0,347.0,370.0,360.02,"170,664.00",345.00,"61,442,796.50",714,25.0,24.0,7.25,6.92,2.7,785.00,310.00,,
2022-08-16,4,AHPC,30.51,372.0,377.0,357.0,358.0,366.91,"122,511.00",370.00,"44,949,983.20",544,-12.00,20.00,-3.24,5.6,-2.49,785.00,310.00,,
2022-08-17,4,AHPC,40.18,358.0,364.0,354.0,359.0,359.50,"52,475.00",358.00,"18,864,771.00",268,1.0,10.0,0.28,2.82,-0.14,785.00,310.00,,
2022-08-18,3,AHPC,44.41,364.9,369.7,360.0,369.0,366.16,"93,816.00",359.00,"34,351,915.10",393,10.0,9.7,2.79,2.69,0.77,785.00,310.00,,
2022-08-21,3,AHPC,24.05,369.0,373.0,358.0,360.0,365.45,"57,525.00",369.00,"21,022,454.40",295,-9.0,15.0,-2.44,4.19,-1.51,785.00,310.00,,
2022-08-22,3,AHPC,39.85,357.2,364.9,357.2,360.0,360.63,"33,897.00",360.00,"12,224,432.60",234,0.0,7.7,0.0,2.16,-0.18,785.00,310.00,,
2022-08-23,3,AHPC,35.74,355.1,363.0,355.1,360.0,359.65,"20,174.00",360.00,"7,255,633.70",139,0.0,7.9,0.0,2.22,0.1,785.00,310.00,,
2022-08-24,3,AHPC,32.38,360.0,367.0,359.0,363.1,362.46,"62,137.00",360.00,"22,522,365.50",267,3.1,8.0,0.86,2.23,0.18,785.00,310.00,,
2022-08-25,3,AHPC,38.19,360.0,366.0,353.1,353.3,359.73,"69,631.00",363.10,"25,048,334.60",314,-9.8,12.9,-2.7,3.65,-1.82,785.00,310.00,,
2022-08-26,3,AHPC,33.15,350.1,356.8,349.0,349.0,351.02,"81,926.00",353.30,"28,757,315.00",284,-4.3,7.8,-1.22,2.23,-0.58,785.00,310.00,,
2022-08-28,4,AHPC,31.29,346.3,350.0,337.3,341.0,342.11,"109,342.00",349.00,"37,406,956.90",484,-8.0,12.7,-2.29,3.77,-0.33,785.00,310.00,,
2022-08-29,3,AHPC,28.78,342.0,345.0,337.1,344.0,342.40,"84,506.00",341.00,"28,934,955.00",302,3.0,7.9,0.88,2.34,0.46,785.00,310.00,,
2022-08-30,3,AHPC,26.65,339.0,349.0,339.0,341.6,341.72,"33,156.00",344.00,"11,330,040.40",211,-2.4,10.0,-0.7,2.95,-0.03,780.00,310.00,,
2022-08-31,3,AHPC,25.61,342.0,343.5,330.0,333.0,334.94,"37,602.00",341.60,"12,594,335.90",233,-8.6,13.5,-2.52,4.09,-0.58,780.00,310.00,,
2022-09-01,4,AHPC,32.17,333.0,340.0,330.1,335.8,334.62,"66,312.00",333.00,"22,189,519.00",227,2.8,9.9,0.84,3.0,0.35,760.00,310.00,,
2022-09-02,3,AHPC,23.8,339.7,340.0,331.1,334.5,335.82,"15,927.00",335.80,"5,348,529.70",103,-1.3,8.9,-0.39,2.69,-0.39,749.80,310.00,,
2022-09-04,3,AHPC,25.71,338.0,341.0,333.4,336.0,336.02,"23,705.00",334.50,"7,965,379.90",158,1.5,7.6,0.45,2.28,-0.01,749.80,310.00,,
2022-09-05,3,AHPC,32.03,339.0,340.0,332.1,334.0,335.47,"29,721.00",336.00,"9,970,593.90",165,-2.0,7.9,-0.6,2.38,-0.44,749.80,310.00,,
2022-09-06,3,AHPC,27.58,332.0,337.7,328.2,330.0,330.38,"41,969.00",334.00,"13,865,723.40",225,-4.0,9.5,-1.2,2.89,-0.12,749.80,310.00,,
2022-09-07,3,AHPC,25.74,334.0,334.0,323.0,325.3,326.18,"51,977.00",330.00,"16,953,773.10",232,-4.7,11.0,-1.42,3.41,-0.27,749.80,310.00,,
2022-09-08,3,AHPC,28.46,329.0,334.0,322.3,326.1,327.45,"35,190.00",325.30,"11,523,108.40",201,0.8,11.7,0.25,3.63,-0.42,749.80,310.00,,
2022-09-11,4,AHPC,28.07,327.0,332.0,322.0,323.0,326.33,"18,389.00",326.10,"6,000,821.70",127,-3.1,10.0,-0.95,3.11,-1.03,749.80,310.00,,
2022-09-12,4,AHPC,32.25,325.0,325.0,316.0,318.1,319.30,"44,614.00",323.00,"14,245,271.00",248,-4.9,9.0,-1.52,2.85,-0.38,749.80,310.00,,
2022-09-13,4,AHPC,33.7,318.1,327.0,318.0,320.0,322.94,"26,014.00",318.10,"8,400,903.20",181,1.9,9.0,0.6,2.83,-0.92,749.80,310.00,,
2022-09-14,3,AHPC,45.69,323.0,337.0,323.0,335.0,331.27,"62,780.00",320.00,"20,797,259.90",336,15.0,14.0,4.69,4.33,1.11,715.00,310.00,,
2022-09-15,3,AHPC,41.27,341.7,341.7,315.0,317.9,321.05,"137,885.00",335.00,"44,268,370.20",530,-17.1,26.7,-5.1,8.48,-0.99,700.00,310.00,,
2022-09-16,3,AHPC,37.02,313.0,319.0,306.8,313.0,312.37,"38,506.00",317.90,"12,028,275.20",214,-4.9,12.2,-1.54,3.98,0.2,688.00,306.80,,
2022-09-18,4,AHPC,33.89,319.2,319.2,306.0,306.0,309.45,"73,019.00",313.00,"22,595,582.10",310,-7.0,13.2,-2.24,4.31,-1.13,679.00,306.00,,
2022-09-20,4,AHPC,27.62,300.0,305.2,290.0,292.0,295.88,"70,732.00",306.00,"20,928,447.70",378,-14.0,15.2,-4.58,5.24,-1.33,679.00,290.00,,
2022-09-21,4,AHPC,32.37,296.0,302.0,290.1,294.9,294.47,"46,015.00",292.00,"13,550,159.90",240,2.9,11.9,0.99,4.1,0.14,652.00,290.00,,
