Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2022-09-13,16,BNL,34.34,1980.7,2136.0,1980.7,2136.0,"2,056.87",52.00,"1,941.90","106,957.40",5,194.1,155.3,10.0,7.84,3.7,"2,136.00","1,941.90",,
2022-09-14,15,BNL,33.24,2178.7,2178.7,2178.7,2178.7,"2,178.70",10.00,"2,136.00","21,787.00",1,42.7,0.0,2.0,0.0,0.0,"2,178.70","1,941.90",,
2022-09-25,17,BNL,26.19,2222.2,2222.2,2222.2,2222.2,"2,222.20",10.00,"2,178.70","22,222.00",1,43.5,0.0,2.0,0.0,0.0,"2,222.20","1,941.90",,
2022-12-01,22,BNL,59.51,19380.0,19500.0,19000.0,19500.0,"19,328.00",50.00,"19,000.00","966,400.00",4,500.00,500.00,2.63,2.63,0.88,"23,765.60","2,358.10","13,855.56",0.00
2022-12-14,22,BNL,59.51,19380.0,19500.0,19000.0,19500.0,"19,328.00",50.00,"19,000.00","966,400.00",4,500.00,500.00,2.63,2.63,0.88,"23,765.60","2,358.10","13,855.56",0.00
2023-01-30,22,BNL,59.51,19380.0,19500.0,19000.0,19500.0,"19,328.00",50.00,"19,000.00","966,400.00",4,500.00,500.00,2.63,2.63,0.88,"23,765.60","2,358.10","13,855.56",0.00
2023-04-07,22,BNL,59.51,19380.0,19500.0,19000.0,19500.0,"19,328.00",50.00,"19,000.00","966,400.00",4,500.00,500.00,2.63,2.63,0.88,"23,765.60","2,358.10","13,855.56",0.00
2023-04-15,22,BNL,59.51,19380.0,19500.0,19000.0,19500.0,"19,328.00",50.00,"19,000.00","966,400.00",4,500.00,500.00,2.63,2.63,0.88,"23,765.60","2,358.10","13,855.56",0.00
2023-04-18,22,BNL,59.51,19380.0,19500.0,19000.0,19500.0,"19,328.00",50.00,"19,000.00","966,400.00",4,500.00,500.00,2.63,2.63,0.88,"23,765.60","2,358.10","13,855.56",0.00
2023-04-27,22,BNL,59.51,19380.0,19500.0,19000.0,19500.0,"19,328.00",50.00,"19,000.00","966,400.00",4,500.00,500.00,2.63,2.63,0.88,"23,765.60","2,358.10","13,855.56",0.00
2023-05-08,22,BNL,59.51,19380.0,19500.0,19000.0,19500.0,"19,328.00",50.00,"19,000.00","966,400.00",4,500.00,500.00,2.63,2.63,0.88,"23,765.60","2,358.10","13,855.56",0.00
2023-05-10,22,BNL,59.51,19380.0,19500.0,19000.0,19500.0,"19,328.00",50.00,"19,000.00","966,400.00",4,500.00,500.00,2.63,2.63,0.88,"23,765.60","2,358.10","13,855.56",0.00
2023-05-23,22,BNL,59.51,19380.0,19500.0,19000.0,19500.0,"19,328.00",50.00,"19,000.00","966,400.00",4,500.00,500.00,2.63,2.63,0.88,"23,765.60","2,358.10","13,855.56",0.00
2023-07-11,21,BNL,43.99,2266.6,2311.9,2266.6,2311.9,"2,289.25",20.00,"2,222.20","45,785.00",2,89.7,45.30,4.04,2.0,0.98,"2,311.90","1,980.70",,
2023-08-07,20,BNL,40.5,2358.1,2405.2,2358.1,2405.2,"2,381.65",20.00,"2,311.90","47,633.00",2,93.3,47.10,4.04,2.0,0.98,"2,405.20","1,980.70",,
2023-09-24,21,BNL,43.2,2453.3,2453.3,2453.3,2453.3,"2,453.30",22.00,"2,405.20","53,972.60",1,48.10,0.00,2.0,0.0,0.0,"2,453.30","2,222.20",,
2023-09-28,22,BNL,59.51,19380.0,19500.0,19000.0,19500.0,"19,328.00",50.00,"19,000.00","966,400.00",4,500.00,500.00,2.63,2.63,0.88,"23,765.60","2,358.10","13,855.56",0.00
2023-12-11,21,BNL,45.86,2502.3,2698.6,2502.3,2698.6,"2,602.36",50.00,"2,453.30","130,118.00",5,245.3,196.3,10.0,7.84,3.57,"2,698.60","2,266.60",,
