Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2022-12-01,27,C30MF,68.05,9.9,10.09,9.72,9.73,9.89,"21,000.00",9.90,"207,615.00",8,-0.17,0.37,-1.72,3.81,-1.61,8.84,8.60,10.09,7.61
2022-12-14,27,C30MF,68.05,9.9,10.09,9.72,9.73,9.89,"21,000.00",9.90,"207,615.00",8,-0.17,0.37,-1.72,3.81,-1.61,8.84,8.60,10.09,7.61
2023-01-30,27,C30MF,68.05,9.9,10.09,9.72,9.73,9.89,"21,000.00",9.90,"207,615.00",8,-0.17,0.37,-1.72,3.81,-1.61,8.84,8.60,10.09,7.61
2023-04-07,27,C30MF,68.05,9.9,10.09,9.72,9.73,9.89,"21,000.00",9.90,"207,615.00",8,-0.17,0.37,-1.72,3.81,-1.61,8.84,8.60,10.09,7.61
2023-04-15,27,C30MF,68.05,9.9,10.09,9.72,9.73,9.89,"21,000.00",9.90,"207,615.00",8,-0.17,0.37,-1.72,3.81,-1.61,8.84,8.60,10.09,7.61
2023-04-18,27,C30MF,68.05,9.9,10.09,9.72,9.73,9.89,"21,000.00",9.90,"207,615.00",8,-0.17,0.37,-1.72,3.81,-1.61,8.84,8.60,10.09,7.61
2023-04-27,27,C30MF,68.05,9.9,10.09,9.72,9.73,9.89,"21,000.00",9.90,"207,615.00",8,-0.17,0.37,-1.72,3.81,-1.61,8.84,8.60,10.09,7.61
2023-05-08,27,C30MF,68.05,9.9,10.09,9.72,9.73,9.89,"21,000.00",9.90,"207,615.00",8,-0.17,0.37,-1.72,3.81,-1.61,8.84,8.60,10.09,7.61
2023-05-10,27,C30MF,68.05,9.9,10.09,9.72,9.73,9.89,"21,000.00",9.90,"207,615.00",8,-0.17,0.37,-1.72,3.81,-1.61,8.84,8.60,10.09,7.61
2023-05-23,27,C30MF,68.05,9.9,10.09,9.72,9.73,9.89,"21,000.00",9.90,"207,615.00",8,-0.17,0.37,-1.72,3.81,-1.61,8.84,8.60,10.09,7.61
2023-08-14,23,C30MF,45.64,10.0,10.0,9.81,9.81,9.91,200.00,0.00,"1,981.00",2,9.81,0.19,0.0,1.94,-0.97,,,10.00,9.81
2023-08-15,24,C30MF,31.8,9.62,9.62,9.62,9.62,9.62,100.00,9.81,962.00,1,-0.19,0.00,-1.94,0.0,0.00,,,10.00,9.62
2023-08-16,23,C30MF,36.6,9.43,9.43,9.25,9.25,9.34,200.00,9.62,"1,868.00",2,-0.37,0.18,-3.85,1.95,-0.97,,,10.00,9.25
2023-08-17,23,C30MF,36.25,9.07,9.07,9.07,9.07,9.07,200.00,9.25,"1,814.00",2,-0.18,0.00,-1.95,0.0,0.0,,,10.00,9.07
2023-08-22,24,C30MF,32.72,8.89,8.89,8.89,8.89,8.89,100.00,9.07,889.00,1,-0.18,0.0,-1.98,0.0,0.0,,,10.00,8.89
2023-08-23,25,C30MF,39.42,8.72,8.72,8.06,8.23,8.10,"6,760.00",8.89,"54,770.95",19,-0.66,0.66,-7.42,8.19,1.55,,,10.00,8.06
2023-08-24,24,C30MF,37.01,8.07,8.23,7.94,8.1,8.08,"2,350.00",8.23,"18,988.00",17,-0.13,0.29,-1.58,3.65,0.25,,,10.00,7.94
2023-08-27,23,C30MF,34.73,7.94,8.1,7.94,8.1,8.05,"1,450.00",8.10,"11,669.00",10,0.0,0.16,0.0,2.02,0.65,,,10.00,7.94
2023-08-28,24,C30MF,37.37,8.06,8.25,8.06,8.25,8.13,"1,100.00",8.10,"8,939.00",10,0.15,0.19,1.85,2.36,1.5,,,10.00,7.94
2023-08-29,24,C30MF,45.01,8.25,8.25,8.25,8.25,8.25,500.00,8.25,"4,125.00",5,0.0,0.0,0.0,0.0,0.0,,,10.00,7.94
2023-08-30,24,C30MF,51.68,8.15,8.25,8.15,8.25,8.19,"1,700.00",8.25,"13,924.00",17,0.0,0.1,0.0,1.23,0.72,,,10.00,7.94
2023-09-03,24,C30MF,46.75,8.2,8.36,8.2,8.25,8.22,"1,650.00",8.25,"13,569.00",9,0.0,0.16,0.0,1.95,0.32,,,10.00,7.94
2023-09-04,23,C30MF,50.1,8.2,8.36,8.2,8.36,8.30,"2,500.00",8.25,"20,743.00",19,0.11,0.16,1.33,1.95,0.75,,,10.00,7.94
2023-09-05,24,C30MF,42.82,8.35,8.53,8.35,8.4,8.40,500.00,8.36,"4,200.00",5,0.04,0.18,0.48,2.16,0.0,,,10.00,7.94
