Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2022-11-23,19,CBL,53.39,217.2,234.3,217.2,234.3,233.21,"292,518.00",213.00,"68,218,036.50",980,21.3,17.1,10.0,7.87,0.47,285.40,194.00
2022-11-24,19,CBL,47.5,238.9,238.9,226.1,231.0,230.38,"69,168.00",234.30,"15,934,970.10",335,-3.3,12.8,-1.41,5.66,0.27,285.40,194.00
2022-11-27,19,CBL,50.62,230.0,230.0,227.1,230.0,228.72,"62,913.00",231.00,"14,389,249.50",298,-1.0,2.9,-0.43,1.28,0.56,285.40,194.00
2022-11-28,19,CBL,48.38,230.0,230.0,226.3,227.1,227.72,"73,089.00",230.00,"16,643,490.50",206,-2.9,3.7,-1.26,1.63,-0.27,285.40,194.00
2022-11-29,19,CBL,32.97,226.0,230.0,223.5,224.5,224.94,"72,689.00",227.10,"16,350,819.70",205,-2.6,6.5,-1.14,2.91,-0.2,285.40,194.00
2022-11-30,18,CBL,32.48,222.0,225.9,218.8,224.0,222.28,"102,453.00",224.50,"22,772,871.00",289,-0.5,7.1,-0.22,3.24,0.77,285.40,194.00
2022-12-04,20,CBL,30.27,225.0,225.0,221.5,223.9,223.30,"32,540.00",226.00,"7,266,183.90",172,-2.1,3.5,-0.93,1.58,0.27,285.40,194.00
2022-12-05,21,CBL,32.04,222.3,224.9,221.5,221.5,222.60,"39,387.00",223.90,"8,767,555.20",156,-2.4,3.4,-1.07,1.53,-0.5,285.40,194.00
2022-12-06,21,CBL,27.83,222.0,222.0,220.0,220.8,220.52,"20,913.00",221.50,"4,611,687.00",112,-0.7,2.0,-0.32,0.91,0.13,285.40,194.00
2022-12-07,22,CBL,24.94,219.0,222.0,218.9,218.9,219.13,"24,694.00",220.80,"5,411,167.50",135,-1.9,3.1,-0.86,1.42,-0.1,285.40,194.00
2022-12-11,23,CBL,27.84,218.0,218.0,214.2,215.0,215.38,"32,423.00",218.90,"6,983,228.90",179,-3.9,3.8,-1.78,1.77,-0.18,285.40,194.00
