Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2022-08-04,34,EBL,39.0,500.1,506.0,493.0,499.0,500.10,"69,134.00",510.00,"34,573,734.10",379,-11.0,13.0,-2.16,2.64,-0.22,782.30,411.00,,
2022-08-05,33,EBL,31.72,491.1,500.0,489.5,495.0,491.59,"19,105.00",499.00,"9,391,778.00",134,-4.0,10.5,-0.8,2.15,0.69,780.00,411.00,,
2022-08-07,33,EBL,32.37,499.5,514.0,495.0,501.0,499.35,"40,536.00",495.00,"20,241,588.50",280,6.0,19.0,1.21,3.84,0.33,780.00,411.00,,
2022-08-08,33,EBL,39.84,511.0,514.0,505.1,509.0,509.99,"53,748.00",501.00,"27,411,053.30",345,8.00,8.90,1.6,1.76,-0.19,780.00,411.00,,
2022-08-09,33,EBL,37.27,505.0,509.9,500.0,502.0,503.55,"35,501.00",509.00,"17,876,413.00",270,-7.0,9.9,-1.38,1.98,-0.31,780.00,411.00,,
2022-08-10,33,EBL,36.31,502.0,504.9,495.0,501.2,501.53,"31,386.00",502.00,"15,740,894.30",157,-0.8,9.90,-0.16,2.0,-0.07,780.00,411.00,,
2022-08-11,35,EBL,31.57,505.9,505.9,497.0,499.9,499.29,"24,378.00",501.20,"12,171,747.80",180,-1.30,8.90,-0.26,1.79,0.12,780.00,411.00,,
2022-08-14,34,EBL,25.93,500.0,503.9,496.0,496.2,499.85,"26,181.00",499.90,"13,086,680.60",192,-3.7,7.9,-0.74,1.59,-0.74,775.00,411.00,,
2022-08-15,33,EBL,35.45,496.2,505.0,496.2,505.0,501.90,"21,492.00",496.20,"10,786,758.40",193,8.8,8.8,1.77,1.77,0.61,775.00,411.00,,
2022-08-16,34,EBL,30.09,508.0,510.1,501.0,503.0,504.87,"17,452.00",505.00,"8,811,028.50",153,-2.00,9.10,-0.4,1.82,-0.37,774.00,411.00,,
2022-08-17,34,EBL,31.4,501.0,508.0,501.0,506.0,504.50,"18,929.00",503.00,"9,549,717.60",103,3.0,7.0,0.6,1.4,0.3,774.00,411.00,,
2022-08-18,33,EBL,41.49,515.0,515.0,505.0,510.5,509.29,"19,835.00",506.00,"10,101,706.00",167,4.5,10.0,0.89,1.98,0.24,774.00,411.00,,
2022-08-21,34,EBL,35.23,515.0,519.0,512.6,515.5,514.48,"28,413.00",510.50,"14,617,992.10",198,5.0,6.4,0.98,1.25,0.2,774.00,411.00,,
2022-08-22,33,EBL,33.62,513.0,515.0,510.0,511.3,512.39,"8,567.00",515.50,"4,389,607.30",91,-4.2,5.0,-0.81,0.98,-0.21,774.00,411.00,,
2022-08-23,33,EBL,31.85,514.0,514.0,505.0,509.0,508.77,"14,669.00",511.30,"7,463,098.40",154,-2.3,9.0,-0.45,1.78,0.05,774.00,411.00,,
2022-08-24,33,EBL,33.75,513.0,515.0,508.0,510.0,512.62,"48,788.00",509.00,"25,009,674.30",173,1.0,7.0,0.2,1.38,-0.51,774.00,411.00,,
2022-08-25,33,EBL,33.18,515.0,515.0,505.0,508.9,506.17,"23,470.00",510.00,"11,879,774.70",153,-1.1,10.0,-0.22,1.98,0.54,762.00,411.00,,
2022-08-26,31,EBL,36.52,511.0,511.0,500.0,507.0,502.28,"26,088.00",508.90,"13,103,530.50",127,-1.9,11.0,-0.37,2.2,0.93,758.90,411.00,,
2022-08-28,34,EBL,30.94,507.0,507.0,491.0,496.0,497.78,"24,947.00",507.00,"12,418,130.70",224,-11.0,16.0,-2.17,3.26,-0.36,753.90,411.00,,
