Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2022-12-01,63,GBIME,66.24,254.0,257.9,243.0,254.0,250.57,"740,562.00",253.00,"185,560,047.60","2,945",1.00,14.90,0.4,6.13,1.35,187.98,192.97,284.30,170.00
2022-12-07,45,GBIME,37.34,240.0,240.0,220.0,221.4,223.50,"143,676.00",244.08,"32,112,235.00","1,096",-22.68,20.0,-9.29,9.09,-0.95,,,375.00,220.00
2022-12-11,49,GBIME,35.1,221.0,221.0,213.7,214.2,215.40,"89,079.00",221.40,"19,187,789.20",643,-7.2,7.3,-3.25,3.42,-0.56,,,375.00,213.70
2022-12-12,48,GBIME,35.91,214.2,214.2,206.0,214.0,209.79,"97,560.00",214.20,"20,467,470.00",574,-0.2,8.2,-0.09,3.98,1.97,,,375.00,206.00
2022-12-13,48,GBIME,33.21,214.0,214.5,209.0,212.0,211.04,"26,556.00",214.00,"5,604,449.00",283,-2.0,5.5,-0.93,2.63,0.45,,,375.00,206.00
2022-12-14,63,GBIME,66.24,254.0,257.9,243.0,254.0,250.57,"740,562.00",253.00,"185,560,047.60","2,945",1.00,14.90,0.4,6.13,1.35,187.98,192.97,284.30,170.00
2022-12-15,50,GBIME,37.68,208.0,208.9,205.0,205.5,206.45,"42,309.00",208.00,"8,734,766.50",348,-2.5,3.9,-1.2,1.9,-0.46,,,375.00,205.00
2022-12-18,50,GBIME,38.87,205.5,205.5,200.0,202.0,201.75,"66,218.00",205.50,"13,359,602.30",447,-3.5,5.5,-1.7,2.75,0.12,,,375.00,200.00
2022-12-19,50,GBIME,39.87,202.0,202.0,197.5,198.6,198.88,"70,195.00",202.00,"13,960,702.20",430,-3.4,4.5,-1.68,2.28,-0.14,,,375.00,197.50
2022-12-20,51,GBIME,37.56,200.0,201.0,197.1,200.0,199.65,"31,289.00",198.60,"6,246,748.20",311,1.4,3.9,0.7,1.98,0.18,,,375.00,197.10
2022-12-21,52,GBIME,35.79,201.0,201.0,197.1,198.5,199.43,"25,652.00",200.00,"5,115,761.50",259,-1.5,3.9,-0.75,1.98,-0.47,,,375.00,197.10
2022-12-22,50,GBIME,36.79,201.4,201.4,198.0,198.5,198.46,"33,057.00",198.50,"6,560,404.30",271,0.0,3.4,0.0,1.72,0.02,,,375.00,197.10
2022-12-26,49,GBIME,44.63,201.4,207.9,200.1,207.0,203.76,"51,530.00",198.50,"10,499,940.40",414,8.5,7.8,4.28,3.9,1.56,,,375.00,197.10
2022-12-27,52,GBIME,52.09,210.1,216.0,210.0,214.0,213.43,"103,327.00",207.00,"22,053,341.70",709,7.0,6.00,3.38,2.86,0.27,,,375.00,197.10
2022-12-28,53,GBIME,47.59,216.0,217.0,209.0,209.9,212.36,"37,458.00",214.00,"7,954,471.80",346,-4.1,8.0,-1.92,3.83,-1.17,,,375.00,197.10
2022-12-29,52,GBIME,53.9,211.0,213.9,207.6,213.9,209.94,"114,945.00",209.90,"24,130,991.50",414,4.0,6.3,1.91,3.03,1.85,,,375.00,197.10
2023-01-01,55,GBIME,48.74,210.1,217.7,210.1,212.5,214.92,"59,062.00",213.90,"12,693,550.20",517,-1.4,7.60,-0.65,3.62,-1.14,,,375.00,197.10
2023-01-02,51,GBIME,45.82,212.5,216.0,210.0,212.0,212.52,"35,977.00",212.50,"7,645,966.90",332,-0.5,6.0,-0.24,2.86,-0.25,,,375.00,197.10
2023-01-03,53,GBIME,53.82,215.0,215.0,207.0,210.0,209.57,"88,647.00",212.00,"18,577,583.60",529,-2.0,8.0,-0.94,3.86,0.21,,,375.00,197.10
2023-01-04,53,GBIME,53.11,212.0,213.0,209.0,212.0,210.66,"86,600.00",210.00,"18,242,812.10",439,2.0,4.0,0.95,1.91,0.63,,,375.00,197.10
2023-01-05,52,GBIME,55.04,215.0,216.2,210.0,211.0,211.78,"89,850.00",212.00,"19,027,985.60",602,-1.0,6.2,-0.47,2.95,-0.37,,,375.00,197.10
2023-01-08,55,GBIME,56.31,211.0,213.9,208.9,210.4,210.78,"171,512.00",211.00,"36,151,379.40",813,-0.60,5.00,-0.28,2.39,-0.18,,,375.00,197.10
2023-01-30,63,GBIME,66.24,254.0,257.9,243.0,254.0,250.57,"740,562.00",253.00,"185,560,047.60","2,945",1.00,14.90,0.4,6.13,1.35,187.98,192.97,284.30,170.00
2023-02-22,55,GBIME,39.86,210.0,210.0,199.0,204.0,202.79,"227,497.00",210.40,"46,134,891.10","1,481",-6.4,11.0,-3.04,5.53,0.59,,,341.00,197.10
2023-02-23,51,GBIME,32.72,204.0,204.0,197.0,199.5,199.23,"183,925.00",204.00,"36,644,178.60","1,130",-4.5,7.0,-2.21,3.55,0.13,,,338.00,197.00
2023-02-26,51,GBIME,32.66,200.0,200.0,192.1,195.2,194.32,"148,048.00",199.50,"28,769,096.70",915,-4.3,7.9,-2.16,4.11,0.45,,,334.50,192.10
2023-02-27,51,GBIME,29.66,197.0,201.0,193.0,197.0,195.74,"102,829.00",195.20,"20,128,163.20",717,1.8,8.00,0.92,4.15,0.64,,,334.50,192.10
2023-02-28,49,GBIME,28.94,198.0,199.0,194.3,195.2,195.41,"71,406.00",197.00,"13,953,531.50",577,-1.8,4.7,-0.91,2.42,-0.11,,,334.50,192.10
2023-03-01,50,GBIME,30.64,195.0,199.0,193.1,194.0,194.17,"72,908.00",195.20,"14,156,292.10",576,-1.20,5.90,-0.61,3.06,-0.09,,,334.50,192.10
2023-03-02,51,GBIME,29.56,193.1,194.2,191.0,191.0,192.26,"75,249.00",194.00,"14,467,387.10",569,-3.0,3.2,-1.55,1.68,-0.66,,,334.50,191.00
2023-03-05,51,GBIME,27.04,194.0,194.9,188.4,188.4,189.66,"64,855.00",191.00,"12,300,273.20",578,-2.6,6.5,-1.36,3.45,-0.67,,,334.50,188.40
2023-03-07,50,GBIME,30.48,189.0,191.9,187.1,188.6,188.99,"97,487.00",188.40,"18,423,948.00",527,0.2,4.8,0.11,2.57,-0.21,,,334.50,187.10
2023-03-09,50,GBIME,38.95,189.0,194.8,189.0,192.9,191.57,"92,131.00",188.60,"17,649,462.20",573,4.3,5.8,2.28,3.07,0.69,,,334.50,187.10
2023-03-12,50,GBIME,38.34,195.9,195.9,190.0,190.9,191.59,"80,911.00",192.90,"15,501,964.80",610,-2.0,5.9,-1.04,3.11,-0.36,,,334.50,187.10
2023-03-13,48,GBIME,35.96,192.0,192.0,187.0,187.5,188.37,"78,219.00",190.90,"14,733,871.80",523,-3.4,5.0,-1.78,2.67,-0.46,,,334.50,187.00
2023-03-14,49,GBIME,39.78,183.8,189.9,183.8,186.4,186.66,"114,448.00",187.50,"21,362,831.00",735,-1.1,6.1,-0.59,3.32,-0.14,,,334.50,183.80
2023-03-15,49,GBIME,34.18,185.1,189.9,184.1,185.2,185.57,"86,059.00",186.40,"15,969,680.60",577,-1.20,5.8,-0.64,3.15,-0.2,,,331.90,183.80
2023-03-16,48,GBIME,39.4,188.9,189.0,184.0,187.2,186.44,"79,373.00",185.20,"14,798,243.50",474,2.0,5.0,1.08,2.72,0.41,,,326.40,183.80
2023-03-19,47,GBIME,38.44,190.0,190.0,186.0,187.0,187.23,"70,476.00",187.20,"13,195,057.10",477,-0.2,4.0,-0.11,2.15,-0.12,,,326.00,183.80
2023-03-20,48,GBIME,40.41,189.7,189.9,186.5,188.1,188.02,"65,565.00",187.00,"12,327,466.10",472,1.1,3.4,0.59,1.82,0.04,,,326.00,183.80
2023-03-22,49,GBIME,41.65,190.0,192.9,186.0,187.9,187.34,"89,332.00",188.10,"16,735,324.30",550,-0.2,6.9,-0.11,3.71,0.3,,,326.00,183.80
2023-03-23,49,GBIME,39.82,189.9,189.9,184.0,186.0,186.06,"119,328.00",187.90,"22,201,676.00",684,-1.9,5.9,-1.01,3.21,-0.03,,,325.00,183.80
2023-03-26,49,GBIME,35.36,188.6,188.6,183.0,183.9,184.75,"79,302.00",186.00,"14,651,334.90",601,-2.1,5.6,-1.13,3.06,-0.46,,,322.00,183.00
2023-03-27,48,GBIME,38.39,183.1,185.9,182.0,182.0,183.44,"102,412.00",183.90,"18,786,690.40",650,-1.9,3.9,-1.03,2.14,-0.79,,,322.00,182.00
2023-03-28,49,GBIME,39.6,185.6,187.9,184.0,185.5,185.85,"76,039.00",182.00,"14,131,906.40",491,3.5,3.9,1.92,2.12,-0.19,,,319.50,182.00
2023-03-29,49,GBIME,39.2,187.9,187.9,182.1,186.0,184.49,"62,357.00",185.50,"11,504,262.30",446,0.5,5.8,0.27,3.19,0.81,,,319.50,182.00
2023-03-30,47,GBIME,40.64,189.0,189.0,184.0,186.0,185.48,"53,351.00",186.00,"9,895,791.70",445,0.0,5.0,0.0,2.72,0.28,,,319.50,182.00
2023-04-02,48,GBIME,39.64,189.7,190.0,182.3,183.0,184.41,"84,655.00",186.00,"15,611,422.90",555,-3.0,7.7,-1.61,4.22,-0.77,,,316.00,182.00
2023-04-03,49,GBIME,37.38,186.5,186.5,180.0,182.0,180.52,"140,647.00",183.00,"25,389,542.20",622,-1.0,6.5,-0.55,3.61,0.81,,,316.00,180.00
2023-04-04,51,GBIME,29.88,180.0,183.0,180.0,181.0,181.40,"49,722.00",182.00,"9,019,544.20",376,-1.0,3.0,-0.55,1.67,-0.22,,,316.00,180.00
2023-04-05,48,GBIME,26.37,180.0,182.9,179.0,181.1,181.20,"40,483.00",181.00,"7,335,531.30",366,0.1,3.9,0.06,2.18,-0.06,,,316.00,179.00
2023-04-06,50,GBIME,36.57,181.0,183.1,179.7,182.0,181.86,"87,941.00",181.10,"15,992,882.70",500,0.9,3.4,0.5,1.89,0.08,,,316.00,179.00
2023-04-07,63,GBIME,66.24,254.0,257.9,243.0,254.0,250.57,"740,562.00",253.00,"185,560,047.60","2,945",1.00,14.90,0.4,6.13,1.35,187.98,192.97,284.30,170.00
2023-04-09,52,GBIME,38.7,182.0,182.0,178.7,180.3,180.65,"180,985.00",182.00,"32,694,693.10",577,-1.7,3.3,-0.93,1.85,-0.19,,,316.00,178.70
2023-04-10,49,GBIME,39.08,181.9,182.8,178.1,181.9,180.74,"64,332.00",180.30,"11,627,328.00",488,1.6,4.7,0.89,2.64,0.64,,,316.00,178.10
2023-04-11,49,GBIME,43.56,183.0,183.9,180.0,183.5,182.35,"58,757.00",181.90,"10,714,408.90",394,1.60,3.90,0.88,2.17,0.63,,,316.00,178.10
2023-04-12,50,GBIME,53.34,185.0,194.8,184.0,194.4,190.62,"133,689.00",183.50,"25,483,174.40",787,10.90,10.80,5.94,5.87,1.95,,,316.00,178.10
