Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2022-08-04,42,GFCL,44.35,580.0,599.7,557.0,560.0,573.17,"76,874.00",589.10,"44,061,556.20",495,-29.1,42.7,-4.94,7.67,-2.35,"1,010.00",358.00,,
2022-08-05,40,GFCL,35.49,548.8,567.0,537.9,548.0,549.39,"41,268.00",560.00,"22,672,215.40",247,-12.0,29.1,-2.14,5.41,-0.25,"1,010.00",358.00,,
2022-08-07,40,GFCL,33.96,539.0,562.9,539.0,557.0,551.49,"40,352.00",548.00,"22,253,700.80",251,9.0,23.9,1.64,4.43,0.99,"1,010.00",358.00,,
2022-08-08,41,GFCL,36.8,568.1,582.0,550.0,563.1,569.61,"55,970.00",557.00,"31,881,311.40",303,6.10,32.00,1.1,5.82,-1.16,"1,010.00",358.00,,
2022-08-09,41,GFCL,42.42,568.9,580.0,535.0,580.0,549.31,"59,032.00",563.10,"32,426,833.70",274,16.9,45.0,3.0,8.41,5.29,"1,010.00",358.00,,
2022-08-10,41,GFCL,40.39,591.6,591.6,535.0,560.0,554.96,"60,996.00",580.00,"33,850,480.60",332,-20.0,56.60,-3.45,10.58,0.9,"1,010.00",358.00,,
2022-08-11,44,GFCL,27.84,571.2,571.2,537.0,538.0,544.73,"22,051.00",560.00,"12,011,815.60",160,-22.00,34.20,-3.93,6.37,-1.25,"1,010.00",358.00,,
2022-08-14,42,GFCL,25.09,528.0,541.0,515.1,525.0,524.57,"24,149.00",538.00,"12,667,768.30",154,-13.0,25.9,-2.42,5.03,0.08,"1,010.00",358.00,,
2022-08-15,40,GFCL,31.84,526.0,558.7,523.0,558.7,541.50,"37,766.00",525.00,"20,450,291.80",272,33.7,35.7,6.42,6.83,3.08,"1,010.00",358.00,,
2022-08-16,42,GFCL,29.02,558.0,571.0,535.1,539.0,554.15,"47,845.00",558.70,"26,513,145.00",293,-19.70,35.90,-3.53,6.71,-2.81,"1,010.00",358.00,,
2022-08-17,42,GFCL,32.19,544.0,550.0,537.0,542.0,541.56,"16,160.00",539.00,"8,751,654.00",84,3.0,13.0,0.56,2.42,0.08,"1,010.00",358.00,,
2022-08-18,41,GFCL,43.93,536.0,560.0,536.0,550.0,551.47,"28,658.00",542.00,"15,804,128.00",183,8.0,24.0,1.48,4.48,-0.27,"1,010.00",358.00,,
2022-08-21,41,GFCL,24.74,555.3,570.0,541.5,550.0,554.70,"24,490.00",550.00,"13,584,643.60",145,0.0,28.5,0.0,5.26,-0.85,"1,010.00",358.00,,
2022-08-22,41,GFCL,45.45,540.0,557.8,540.0,551.8,545.65,"29,278.00",550.00,"15,975,537.80",169,1.8,17.8,0.33,3.3,1.11,"1,010.00",358.00,,
2022-08-23,41,GFCL,40.09,541.0,557.9,531.0,549.0,549.13,"12,284.00",551.80,"6,745,483.20",95,-2.8,26.9,-0.51,5.07,-0.02,"1,010.00",358.00,,
2022-08-24,41,GFCL,33.57,546.0,555.0,543.0,546.9,547.66,"13,965.00",549.00,"7,648,065.40",109,-2.1,12.0,-0.38,2.21,-0.14,"1,010.00",358.00,,
