Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2022-08-04,53,GWFD83,35.1,1015.0,1015.0,1015.0,1015.0,"1,015.00",10.00,"1,015.00","10,150.00",1,0.0,0.0,0.0,0.0,0.0,"1,215.00","1,011.00",,
2022-08-05,51,GWFD83,33.4,1015.0,1015.0,1015.0,1015.0,"1,015.00",10.00,"1,015.00","10,150.00",1,0.0,0.0,0.0,0.0,0.0,"1,215.00","1,011.00",,
2022-08-07,51,GWFD83,39.03,1015.0,1015.0,1015.0,1015.0,"1,015.00",125.00,"1,015.00","126,875.00",4,0.0,0.0,0.0,0.0,0.0,"1,215.00","1,011.00",,
2022-08-09,52,GWFD83,53.46,1016.0,1016.0,1016.0,1016.0,"1,016.00",512.00,"1,015.00","520,192.00",1,1.0,0.0,0.1,0.0,0.0,"1,215.00","1,011.00",,
2022-08-10,53,GWFD83,45.33,1015.0,1015.0,1015.0,1015.0,"1,015.00",100.00,"1,016.00","101,500.00",1,-1.0,0.00,-0.1,0.0,0.0,"1,215.00","1,011.00",,
2022-08-11,55,GWFD83,45.82,1010.0,1010.0,1010.0,1010.0,"1,010.00",200.00,"1,015.00","202,000.00",1,-5.00,0.00,-0.49,0.0,0.0,"1,215.00","1,010.00",,
2022-08-14,53,GWFD83,39.15,1015.0,1015.0,1015.0,1015.0,"1,015.00",33.00,"1,010.00","33,495.00",1,5.0,0.0,0.5,0.0,0.0,"1,190.70","1,010.00",,
2022-08-16,53,GWFD83,41.52,1025.0,1025.0,1025.0,1025.0,"1,025.00",25.00,"1,015.00","25,625.00",1,10.00,0.00,0.99,0.0,0.0,"1,190.70","1,010.00",,
2022-08-17,53,GWFD83,46.54,1025.0,1025.0,1025.0,1025.0,"1,025.00",405.00,"1,025.00","415,125.00",3,0.0,0.0,0.0,0.0,0.0,"1,190.70","1,010.00",,
2022-08-18,52,GWFD83,45.69,1015.2,1015.2,1015.0,1015.0,"1,015.12",200.00,"1,025.00","203,024.00",3,-10.0,0.2,-0.98,0.02,-0.01,"1,190.70","1,010.00",,
