Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2022-08-04,68,JOSHI,50.64,242.0,251.0,237.3,245.5,247.81,"125,187.00",242.50,"31,022,001.50",481,3.0,13.7,1.24,5.77,-0.94,507.00,164.80,,
2022-08-05,65,JOSHI,55.6,245.0,263.9,245.0,260.0,258.81,"144,288.00",245.50,"37,343,425.10",615,14.5,18.9,5.91,7.71,0.46,507.00,164.80,,
2022-08-07,66,JOSHI,43.08,261.0,268.0,251.0,254.9,260.87,"33,204.00",260.00,"8,661,914.60",223,-5.1,17.0,-1.96,6.77,-2.34,507.00,164.80,,
2022-08-08,66,JOSHI,41.49,255.0,259.0,248.0,249.0,251.48,"26,803.00",254.90,"6,740,526.80",160,-5.90,11.00,-2.31,4.44,-1.0,507.00,164.80,,
2022-08-09,69,JOSHI,34.26,244.1,246.0,232.0,235.0,238.35,"35,254.00",249.00,"8,402,727.60",231,-14.0,14.0,-5.62,6.03,-1.42,507.00,164.80,,
2022-08-10,70,JOSHI,31.76,230.3,245.0,230.3,238.8,236.18,"23,536.00",235.00,"5,558,730.80",146,3.8,14.70,1.62,6.38,1.1,507.00,164.80,,
2022-08-11,72,JOSHI,25.61,234.1,244.8,232.0,232.0,236.96,"7,963.00",238.80,"1,886,899.60",77,-6.80,12.80,-2.85,5.52,-2.14,507.00,164.80,,
2022-08-14,70,JOSHI,23.31,233.0,235.0,221.0,222.0,226.06,"11,316.00",232.00,"2,558,132.40",76,-10.0,14.0,-4.31,6.33,-1.83,507.00,164.80,,
2022-08-15,66,JOSHI,37.47,225.0,238.0,220.0,238.0,229.48,"25,356.00",222.00,"5,818,641.50",156,16.0,18.0,7.21,8.18,3.58,507.00,164.80,,
2022-08-16,70,JOSHI,29.28,242.7,243.0,222.0,225.0,231.01,"32,695.00",238.00,"7,552,921.30",159,-13.00,21.00,-5.46,9.46,-2.67,507.00,164.80,,
2022-08-17,70,JOSHI,22.2,225.0,234.0,223.6,225.2,227.80,"8,975.00",225.00,"2,044,501.50",66,0.2,10.4,0.09,4.65,-1.15,507.00,164.80,,
2022-08-18,68,JOSHI,43.46,229.7,236.0,226.0,234.0,233.72,"18,619.00",225.20,"4,351,591.60",128,8.8,10.0,3.91,4.42,0.12,507.00,164.80,,
2022-08-21,67,JOSHI,24.45,238.6,238.6,226.5,229.0,230.86,"17,124.00",234.00,"3,953,246.50",71,-5.0,12.1,-2.14,5.34,-0.81,456.00,164.80,,
2022-08-22,68,JOSHI,35.14,225.0,232.0,223.5,226.0,225.98,"13,873.00",229.00,"3,134,985.00",75,-3.0,8.5,-1.31,3.8,0.01,456.00,164.80,,
2022-08-23,68,JOSHI,42.4,226.1,230.5,224.0,228.0,226.04,"15,135.00",226.00,"3,421,096.00",77,2.0,6.5,0.88,2.9,0.86,456.00,164.80,,
2022-08-24,68,JOSHI,23.69,230.0,232.0,225.4,226.1,226.69,"7,055.00",228.00,"1,599,327.50",45,-1.9,6.6,-0.83,2.93,-0.26,456.00,164.80,,
2022-08-25,69,JOSHI,28.55,230.6,231.0,220.0,220.0,224.55,"15,934.00",226.10,"3,577,972.20",70,-6.1,11.0,-2.7,5.0,-2.07,456.00,164.80,,
2022-08-26,65,JOSHI,27.36,217.0,221.3,213.0,216.0,215.68,"16,911.00",220.00,"3,647,358.90",91,-4.0,8.3,-1.82,3.9,0.15,456.00,164.80,,
2022-08-28,70,JOSHI,25.7,218.0,218.0,207.8,209.6,211.39,"12,904.00",216.00,"2,727,804.60",97,-6.4,10.2,-2.96,4.91,-0.86,456.00,164.80,,
2022-08-29,67,JOSHI,27.13,205.5,213.0,205.5,210.0,209.51,"10,854.00",209.60,"2,274,050.00",80,0.4,7.5,0.19,3.65,0.23,456.00,164.80,,
2022-08-30,71,JOSHI,27.46,212.8,217.0,206.0,208.0,210.40,"4,890.00",210.00,"1,028,852.50",49,-2.0,11.0,-0.95,5.34,-1.15,434.00,164.80,,
2022-08-31,68,JOSHI,25.26,205.8,208.0,202.2,203.0,204.91,"4,764.00",208.00,"976,189.10",52,-5.0,5.8,-2.4,2.87,-0.94,434.00,164.80,,
