Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2022-08-04,76,KPCL,46.08,414.0,421.0,410.0,415.0,416.32,"20,365.00",414.00,"8,478,337.00",125,1.0,11.0,0.24,2.68,-0.32,878.90,315.00,,
2022-08-05,74,KPCL,45.2,418.0,422.3,411.0,422.3,416.68,"12,104.00",415.00,"5,043,538.90",93,7.3,11.3,1.76,2.75,1.33,878.90,315.00,,
2022-08-07,74,KPCL,48.32,430.5,439.3,414.0,428.0,421.59,"16,688.00",422.30,"7,035,520.10",129,5.7,25.3,1.35,6.11,1.5,878.90,315.00,,
2022-08-08,74,KPCL,48.32,436.4,436.4,421.5,426.0,431.27,"23,261.00",428.00,"10,031,805.30",121,-2.00,14.90,-0.47,3.53,-1.24,878.90,315.00,,
2022-08-09,78,KPCL,39.23,425.0,428.0,412.1,418.0,420.76,"6,739.00",426.00,"2,835,530.90",77,-8.0,15.9,-1.88,3.86,-0.66,878.90,315.00,,
2022-08-10,80,KPCL,32.83,410.0,423.0,408.0,410.0,412.92,"7,290.00",418.00,"3,010,180.00",74,-8.0,15.00,-1.91,3.68,-0.71,878.90,315.00,,
2022-08-11,80,KPCL,30.49,405.0,413.0,403.4,403.4,406.04,"6,847.00",410.00,"2,780,186.90",56,-6.60,9.60,-1.61,2.38,-0.66,878.90,315.00,,
2022-08-14,79,KPCL,26.47,410.0,415.0,390.0,415.0,396.74,"5,914.00",403.40,"2,346,310.70",62,11.6,25.0,2.88,6.41,4.4,875.00,315.00,,
2022-08-15,74,KPCL,40.68,410.0,423.0,410.0,422.0,416.24,"10,971.00",415.00,"4,566,602.60",111,7.0,13.0,1.69,3.17,1.36,875.00,315.00,,
2022-08-16,78,KPCL,28.06,421.0,424.9,404.0,404.0,413.68,"7,327.00",422.00,"3,031,056.00",70,-18.00,20.90,-4.27,5.17,-2.4,875.00,315.00,,
2022-08-17,78,KPCL,42.96,406.0,411.0,399.0,409.0,404.63,"7,329.00",404.00,"2,965,526.80",48,5.0,12.0,1.24,3.01,1.07,875.00,315.00,,
2022-08-18,76,KPCL,44.28,405.0,418.0,405.0,418.0,410.81,"6,445.00",409.00,"2,647,676.10",68,9.0,13.0,2.2,3.21,1.72,875.00,315.00,,
2022-08-21,75,KPCL,27.06,426.3,426.3,411.0,411.0,414.41,"8,251.00",418.00,"3,419,329.40",63,-7.0,15.3,-1.67,3.72,-0.83,810.90,315.00,,
2022-08-22,76,KPCL,45.5,405.1,424.0,405.1,418.0,414.28,"6,236.00",411.00,"2,583,420.70",58,7.0,18.9,1.7,4.67,0.89,810.90,315.00,,
2022-08-23,76,KPCL,39.5,410.0,425.0,410.0,411.0,411.04,"1,596.00",418.00,"656,012.30",20,-7.0,15.0,-1.67,3.66,-0.01,810.90,315.00,,
2022-08-24,76,KPCL,29.68,411.0,418.0,403.1,414.9,410.84,"8,109.00",411.00,"3,331,538.80",41,3.9,14.9,0.95,3.7,0.98,810.90,315.00,,
2022-08-25,77,KPCL,39.7,415.0,415.0,396.0,407.9,404.52,"14,097.00",414.90,"5,702,475.80",54,-7.0,19.0,-1.69,4.8,0.83,770.00,315.00,,
2022-08-26,73,KPCL,26.54,400.0,400.0,386.0,390.0,392.23,"5,352.00",407.90,"2,099,229.70",46,-17.9,14.0,-4.39,3.63,-0.57,770.00,315.00,,
2022-08-28,78,KPCL,24.54,383.1,390.0,376.1,380.0,381.78,"4,016.00",390.00,"1,533,229.00",50,-10.0,13.9,-2.56,3.7,-0.47,757.80,315.00,,
2022-08-29,76,KPCL,22.1,379.0,386.4,372.4,373.1,376.63,"1,988.00",380.00,"748,745.20",44,-6.9,14.0,-1.82,3.76,-0.95,757.80,315.00,,
2022-08-30,80,KPCL,22.57,380.0,380.0,366.1,366.1,371.03,"2,690.00",373.10,"998,064.30",38,-7.0,13.9,-1.88,3.8,-1.35,753.00,315.00,,
2022-08-31,76,KPCL,31.74,360.1,368.0,354.0,360.0,360.97,"9,091.00",366.10,"3,281,607.60",59,-6.1,14.0,-1.67,3.95,-0.27,753.00,315.00,,
2022-09-01,77,KPCL,33.38,354.0,381.0,349.0,352.0,357.78,"7,919.00",360.00,"2,833,297.60",57,-8.0,32.0,-2.22,9.17,-1.64,753.00,315.00,,
2022-09-02,77,KPCL,28.19,359.0,370.0,355.5,356.0,360.99,"1,736.00",352.00,"626,681.30",24,4.0,14.5,1.14,4.08,-1.4,753.00,315.00,,
2022-09-04,80,KPCL,34.49,362.0,365.0,354.0,355.0,356.93,"5,328.00",356.00,"1,901,706.60",45,-1.0,11.0,-0.28,3.11,-0.54,753.00,315.00,,
2022-09-05,76,KPCL,34.84,355.0,361.2,352.0,354.1,354.80,"4,092.00",355.00,"1,451,859.50",38,-0.9,9.2,-0.25,2.61,-0.2,753.00,315.00,,
2022-09-06,77,KPCL,35.59,351.0,355.0,350.0,355.0,350.52,"2,561.00",354.10,"897,684.70",33,0.9,5.0,0.25,1.43,1.26,753.00,315.00,,
2022-09-07,80,KPCL,30.2,350.0,357.0,350.0,351.0,351.83,"1,151.00",355.00,"404,960.50",23,-4.0,7.0,-1.13,2.0,-0.24,753.00,315.00,,
