Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2022-08-04,81,LEC,45.53,302.0,302.0,285.0,292.0,291.41,"20,272.00",302.90,"5,907,523.70",152,-10.9,17.0,-3.6,5.96,0.2,530.00,203.00,,
2022-08-05,79,LEC,41.07,286.2,289.0,280.0,288.0,283.62,"12,709.00",292.00,"3,604,563.40",76,-4.0,9.0,-1.37,3.21,1.52,530.00,203.00,,
2022-08-07,79,LEC,34.07,288.0,289.0,282.5,286.0,286.35,"7,443.00",288.00,"2,131,281.00",55,-2.0,6.5,-0.69,2.3,-0.12,530.00,203.00,,
2022-08-08,79,LEC,33.83,290.0,291.6,278.1,280.0,284.22,"7,178.00",286.00,"2,040,166.60",82,-6.00,13.50,-2.1,4.85,-1.51,530.00,203.00,,
2022-08-09,83,LEC,36.68,274.4,279.0,264.6,276.3,270.70,"21,715.00",280.00,"5,878,154.90",136,-3.7,14.4,-1.32,5.44,2.03,530.00,203.00,,
2022-08-10,85,LEC,29.37,271.0,275.0,260.9,269.0,269.06,"6,670.00",276.30,"1,794,630.20",53,-7.3,14.10,-2.64,5.4,-0.02,530.00,203.00,,
2022-08-11,85,LEC,27.21,264.0,273.0,257.0,267.0,261.82,"5,772.00",269.00,"1,511,236.40",58,-2.00,16.00,-0.74,6.23,1.94,530.00,203.00,,
2022-08-14,84,LEC,25.69,261.7,265.0,255.0,255.3,258.44,"8,140.00",267.00,"2,103,736.00",69,-11.7,10.0,-4.38,3.92,-1.23,525.00,203.00,,
2022-08-15,79,LEC,30.36,251.1,269.0,251.1,269.0,264.07,"7,370.00",255.30,"1,946,209.00",73,13.7,17.9,5.37,7.13,1.83,525.00,203.00,,
2022-08-16,84,LEC,28.19,269.1,274.0,255.1,260.0,263.46,"9,608.00",269.00,"2,531,324.60",72,-9.00,18.90,-3.35,7.41,-1.33,525.00,203.00,,
2022-08-17,83,LEC,22.89,254.8,267.6,254.8,265.0,261.10,"4,090.00",260.00,"1,067,893.80",55,5.0,12.8,1.92,5.02,1.47,525.00,203.00,,
2022-08-18,81,LEC,47.61,265.0,275.2,261.0,274.8,271.85,"21,630.00",265.00,"5,880,075.60",110,9.8,14.2,3.7,5.44,1.07,525.00,203.00,,
2022-08-21,80,LEC,36.79,280.2,285.0,265.0,273.0,268.24,"15,295.00",274.80,"4,102,684.70",98,-1.8,20.0,-0.66,7.55,1.74,487.70,203.00,,
2022-08-22,81,LEC,41.9,267.6,270.0,264.7,268.9,266.76,"2,171.00",273.00,"579,138.50",39,-4.1,5.3,-1.5,2.0,0.8,487.70,203.00,,
2022-08-23,81,LEC,44.45,269.0,275.0,265.0,275.0,271.70,"10,662.00",268.90,"2,896,906.00",89,6.1,10.0,2.27,3.77,1.2,487.70,203.00,,
2022-08-24,81,LEC,43.75,270.0,280.0,270.0,278.0,276.01,"11,280.00",275.00,"3,113,425.20",84,3.0,10.0,1.09,3.7,0.71,487.70,203.00,,
2022-08-25,82,LEC,43.94,273.0,278.9,267.0,278.0,273.15,"6,923.00",278.00,"1,891,050.60",59,0.0,11.9,0.0,4.46,1.74,487.70,203.00,,
2022-08-26,78,LEC,34.57,272.5,272.5,263.4,267.9,265.32,"1,995.00",278.00,"529,311.50",18,-10.1,9.1,-3.63,3.45,0.96,487.70,203.00,,
2022-08-28,83,LEC,29.73,262.6,262.6,241.2,254.9,250.34,"31,810.00",267.90,"7,963,156.90",149,-13.0,21.4,-4.85,8.87,1.79,487.70,203.00,,
2022-08-29,81,LEC,29.12,250.0,259.7,246.0,255.0,253.08,"7,310.00",254.90,"1,850,018.00",68,0.1,13.7,0.04,5.57,0.75,487.70,203.00,,
2022-08-30,85,LEC,26.0,250.0,258.3,245.0,252.9,249.89,"5,512.00",255.00,"1,377,420.50",44,-2.1,13.3,-0.82,5.43,1.19,487.70,203.00,,
2022-08-31,81,LEC,33.05,248.0,255.0,240.0,254.0,244.00,"10,766.00",252.90,"2,626,929.80",75,1.1,15.0,0.43,6.25,3.94,487.70,203.00,,
2022-09-01,82,LEC,41.36,249.0,263.6,239.3,263.6,249.73,"4,490.00",254.00,"1,121,288.20",47,9.6,24.3,3.78,10.15,5.26,487.70,203.00,,
2022-09-02,82,LEC,30.71,258.4,258.4,249.5,257.0,251.35,"2,800.00",263.60,"703,774.30",40,-6.6,8.9,-2.5,3.57,2.2,487.70,203.00,,
