Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2023-01-26,95,LGIL,50.62,389.6,420.2,389.6,420.2,419.00,689.00,382.00,"288,694.40",19,38.2,30.6,10.0,7.85,0.28,823.00,365.60
2023-01-29,99,LGIL,49.17,428.6,462.2,428.6,462.2,461.21,907.00,420.20,"418,314.40",18,42.0,33.6,10.0,7.84,0.21,823.00,365.60
2023-01-31,99,LGIL,59.96,518.5,559.2,518.5,539.9,546.46,"262,970.00",508.40,"143,703,046.10","1,231",31.5,40.7,6.2,7.85,-1.22,823.00,365.60
2023-02-01,95,LGIL,60.19,550.0,562.0,530.0,546.0,542.67,"81,074.00",539.90,"43,996,110.30",398,6.1,32.0,1.13,6.04,0.61,807.00,365.60
2023-02-02,97,LGIL,50.13,555.8,555.9,532.2,538.9,538.16,"26,249.00",546.00,"14,126,038.30",158,-7.1,23.7,-1.3,4.45,0.14,807.00,365.60
2023-02-05,101,LGIL,41.6,541.0,544.0,530.0,530.0,535.08,"28,881.00",538.90,"15,453,604.30",149,-8.9,14.0,-1.65,2.64,-0.96,805.00,365.60
2023-02-06,100,LGIL,36.67,528.1,534.0,525.7,532.2,530.37,"17,114.00",530.00,"9,076,679.30",105,2.2,8.3,0.42,1.58,0.34,805.00,365.60
2023-02-07,102,LGIL,39.26,541.0,551.0,535.0,551.0,544.66,"26,908.00",532.20,"14,655,711.70",217,18.8,16.0,3.53,2.99,1.15,805.00,365.60
2023-02-08,100,LGIL,46.71,555.7,563.9,550.0,555.0,556.35,"39,958.00",551.00,"22,230,606.70",208,4.0,13.9,0.73,2.53,-0.24,805.00,365.60
2023-02-09,100,LGIL,46.2,555.0,570.0,553.0,569.0,562.52,"51,077.00",555.00,"28,731,888.30",396,14.0,17.0,2.52,3.07,1.14,800.10,365.60
2023-02-12,96,LGIL,35.95,531.0,536.0,521.0,527.0,527.56,"23,015.00",531.88,"12,141,751.70",167,-4.83,15.0,-0.91,2.88,-0.11,800.10,365.60
2023-02-14,100,LGIL,32.18,522.0,527.5,517.1,524.0,523.34,"21,061.00",527.00,"11,021,999.80",107,-3.00,10.4,-0.57,2.01,0.13,800.10,365.60
2023-02-15,101,LGIL,31.54,521.2,527.0,516.0,521.0,521.32,"8,857.00",524.00,"4,617,345.70",101,-3.00,11.00,-0.57,2.13,-0.06,800.10,365.60
2023-02-16,98,LGIL,30.27,521.0,522.0,509.1,511.0,512.84,"9,799.00",521.00,"5,025,326.30",86,-10.00,12.90,-1.92,2.53,-0.36,800.10,365.60
2023-02-20,98,LGIL,27.95,510.0,510.0,498.0,503.0,502.81,"10,540.00",511.00,"5,299,577.10",87,-8.0,12.0,-1.57,2.41,0.04,800.10,365.60
2023-02-22,105,LGIL,29.12,511.9,521.0,500.1,518.3,510.27,"5,626.00",503.00,"2,870,767.30",59,15.3,20.9,3.04,4.18,1.55,800.10,365.60
2023-02-23,100,LGIL,30.15,508.0,510.0,500.0,502.0,502.88,"14,949.00",518.30,"7,517,507.90",88,-16.3,10.0,-3.14,2.0,-0.17,800.10,365.60
2023-02-26,99,LGIL,32.04,492.6,512.0,482.2,510.0,496.41,"13,077.00",502.00,"6,491,588.00",80,8.0,29.8,1.59,6.18,2.66,800.10,365.60
2023-02-27,99,LGIL,29.19,505.0,509.0,489.0,504.0,495.26,"9,951.00",510.00,"4,928,302.10",64,-6.0,20.00,-1.18,4.09,1.73,800.10,365.60
2023-02-28,99,LGIL,25.44,500.0,504.0,494.0,494.0,499.46,"11,055.00",504.00,"5,521,491.40",51,-10.0,10.0,-1.98,2.02,-1.1,800.10,365.60
2023-03-01,99,LGIL,28.41,490.2,503.8,490.2,495.0,498.02,"14,406.00",494.00,"7,174,463.30",63,1.00,13.60,0.2,2.77,-0.61,800.10,365.60
2023-03-02,100,LGIL,24.63,488.0,498.0,488.0,496.9,490.29,"14,385.00",495.00,"7,052,871.40",44,1.9,10.0,0.38,2.05,1.33,800.10,365.60
2023-03-05,100,LGIL,30.03,490.1,499.9,481.2,490.0,485.71,"6,254.00",496.90,"3,037,642.70",53,-6.9,18.7,-1.39,3.89,0.88,800.10,365.60
2023-03-07,98,LGIL,40.13,490.0,504.9,490.0,499.0,495.74,"10,378.00",490.00,"5,144,822.90",46,9.0,14.9,1.84,3.04,0.65,800.10,365.60
2023-03-09,98,LGIL,47.85,507.9,532.0,495.0,532.0,508.06,"22,010.00",499.00,"11,182,447.60",84,33.0,37.0,6.61,7.47,4.5,800.10,365.60
2023-03-12,99,LGIL,48.11,529.9,529.9,488.0,509.9,503.91,"86,177.00",532.00,"43,425,284.80",242,-22.1,41.9,-4.15,8.59,1.18,800.10,365.60
