Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2022-12-01,133,MBLD87,65.95,969.0,969.0,969.0,969.0,965.47,43.00,950.00,"41,515.00",2,19.00,0.00,2.0,0.0,0.36,0.00,0.00,"1,005.70",895.00
2022-12-14,133,MBLD87,65.95,969.0,969.0,969.0,969.0,965.47,43.00,950.00,"41,515.00",2,19.00,0.00,2.0,0.0,0.36,0.00,0.00,"1,005.70",895.00
2023-01-30,133,MBLD87,65.95,969.0,969.0,969.0,969.0,965.47,43.00,950.00,"41,515.00",2,19.00,0.00,2.0,0.0,0.36,0.00,0.00,"1,005.70",895.00
2023-04-07,133,MBLD87,65.95,969.0,969.0,969.0,969.0,965.47,43.00,950.00,"41,515.00",2,19.00,0.00,2.0,0.0,0.36,0.00,0.00,"1,005.70",895.00
2023-04-15,133,MBLD87,65.95,969.0,969.0,969.0,969.0,965.47,43.00,950.00,"41,515.00",2,19.00,0.00,2.0,0.0,0.36,0.00,0.00,"1,005.70",895.00
2023-04-18,133,MBLD87,65.95,969.0,969.0,969.0,969.0,965.47,43.00,950.00,"41,515.00",2,19.00,0.00,2.0,0.0,0.36,0.00,0.00,"1,005.70",895.00
2023-04-27,133,MBLD87,65.95,969.0,969.0,969.0,969.0,965.47,43.00,950.00,"41,515.00",2,19.00,0.00,2.0,0.0,0.36,0.00,0.00,"1,005.70",895.00
2023-05-08,133,MBLD87,65.95,969.0,969.0,969.0,969.0,965.47,43.00,950.00,"41,515.00",2,19.00,0.00,2.0,0.0,0.36,0.00,0.00,"1,005.70",895.00
2023-05-10,133,MBLD87,65.95,969.0,969.0,969.0,969.0,965.47,43.00,950.00,"41,515.00",2,19.00,0.00,2.0,0.0,0.36,0.00,0.00,"1,005.70",895.00
2023-05-23,133,MBLD87,65.95,969.0,969.0,969.0,969.0,965.47,43.00,950.00,"41,515.00",2,19.00,0.00,2.0,0.0,0.36,0.00,0.00,"1,005.70",895.00
2023-09-28,133,MBLD87,65.95,969.0,969.0,969.0,969.0,965.47,43.00,950.00,"41,515.00",2,19.00,0.00,2.0,0.0,0.36,0.00,0.00,"1,005.70",895.00
2023-11-08,118,MBLD87,40.52,1000.0,1000.0,1000.0,1000.0,"1,000.00",10.00,0.00,"10,000.00",1,"1,000.00",0.0,0.0,0.0,0.0,,,"1,000.00","1,000.00"
2023-12-14,124,MBLD87,43.28,980.0,980.0,960.4,960.4,970.20,20.00,"1,000.00","19,404.00",2,-39.6,19.6,-3.96,2.04,-1.02,,,"1,000.00",960.40
2023-12-19,126,MBLD87,50.27,941.2,941.2,941.2,941.2,941.20,220.00,960.40,"207,064.00",8,-19.2,0.00,-2.0,0.0,0.0,,,"1,000.00",941.20
2024-01-23,133,MBLD87,65.95,969.0,969.0,969.0,969.0,965.47,43.00,950.00,"41,515.00",2,19.00,0.00,2.0,0.0,0.36,0.00,0.00,"1,005.70",895.00
2024-01-28,127,MBLD87,34.63,922.4,922.4,922.4,922.4,922.40,20.00,941.20,"18,448.00",1,-18.8,0.0,-2.0,0.0,0.0,,,"1,000.00",922.40
2024-02-25,133,MBLD87,65.95,969.0,969.0,969.0,969.0,965.47,43.00,950.00,"41,515.00",2,19.00,0.00,2.0,0.0,0.36,0.00,0.00,"1,005.70",895.00
2024-02-26,133,MBLD87,65.95,969.0,969.0,969.0,969.0,965.47,43.00,950.00,"41,515.00",2,19.00,0.00,2.0,0.0,0.36,0.00,0.00,"1,005.70",895.00
2024-02-28,133,MBLD87,65.95,969.0,969.0,969.0,969.0,965.47,43.00,950.00,"41,515.00",2,19.00,0.00,2.0,0.0,0.36,0.00,0.00,"1,005.70",895.00
2024-02-29,125,MBLD87,42.34,910.0,910.0,910.0,910.0,910.00,150.00,900.00,"136,500.00",1,10.00,0.00,1.11,0.0,0.0,,,"1,000.00",900.00
2024-03-03,125,MBLD87,37.4,902.0,902.0,902.0,902.0,902.00,25.00,910.00,"22,550.00",1,-8.00,0.00,-0.88,0.0,0.0,,,"1,000.00",900.00
2024-03-04,133,MBLD87,65.95,969.0,969.0,969.0,969.0,965.47,43.00,950.00,"41,515.00",2,19.00,0.00,2.0,0.0,0.36,0.00,0.00,"1,005.70",895.00
2024-03-05,127,MBLD87,45.46,902.0,902.0,902.0,902.0,902.00,50.00,902.00,"45,100.00",2,0.00,0.00,0.0,0.0,0.0,,,"1,000.00",900.00
2024-03-06,130,MBLD87,47.27,902.0,902.0,902.0,902.0,902.00,55.00,902.00,"49,610.00",3,0.0,0.00,0.0,0.0,0.0,,,"1,000.00",900.00
2024-03-07,127,MBLD87,51.91,900.0,910.0,900.0,910.0,901.67,300.00,902.00,"270,500.00",2,8.0,10.00,0.89,1.11,0.92,,,"1,000.00",900.00
2024-03-12,125,MBLD87,50.92,903.0,903.0,903.0,903.0,903.00,30.00,910.00,"27,090.00",1,-7.00,0.0,-0.77,0.0,0.0,,,"1,000.00",900.00
2024-03-13,128,MBLD87,50.53,903.0,903.0,903.0,903.0,903.00,25.00,903.00,"22,575.00",1,0.0,0.0,0.0,0.0,0.0,,,"1,000.00",900.00
2024-03-14,125,MBLD87,49.39,902.1,902.1,902.1,902.1,902.10,25.00,903.00,"22,552.50",1,-0.9,0.0,-0.1,0.0,0.0,,,"1,000.00",900.00
2024-03-18,125,MBLD87,48.48,895.1,895.1,895.1,895.1,895.10,40.00,902.10,"35,804.00",1,-7.0,0.0,-0.78,0.0,0.0,,,"1,000.00",895.10
2024-03-20,126,MBLD87,53.84,900.3,900.3,900.2,900.2,900.25,50.00,895.10,"45,012.50",2,5.10,0.10,0.57,0.01,-0.01,,,"1,000.00",895.10
2024-03-26,133,MBLD87,65.95,969.0,969.0,969.0,969.0,965.47,43.00,950.00,"41,515.00",2,19.00,0.00,2.0,0.0,0.36,0.00,0.00,"1,005.70",895.00
2024-03-27,129,MBLD87,50.55,900.8,902.0,900.8,902.0,901.60,75.00,900.20,"67,620.00",3,1.8,1.20,0.2,0.13,0.04,,,"1,000.00",895.10
2024-03-28,130,MBLD87,45.02,895.0,895.0,895.0,895.0,895.00,25.00,902.00,"22,375.00",1,-7.0,0.0,-0.78,0.0,0.0,,,"1,000.00",895.00
2024-04-01,126,MBLD87,50.26,912.9,921.1,912.9,921.1,919.41,50.00,895.00,"45,970.50",3,26.1,8.2,2.92,0.9,0.18,,,"1,000.00",895.00
2024-04-02,128,MBLD87,56.37,927.0,927.0,925.0,925.0,926.36,110.00,921.10,"101,900.00",4,3.9,2.0,0.42,0.22,-0.15,,,"1,000.00",895.00
2024-04-03,128,MBLD87,48.88,943.5,943.5,943.5,943.5,943.50,25.00,925.00,"23,587.50",1,18.50,0.0,2.0,0.0,0.0,,,"1,000.00",895.00
2024-04-04,124,MBLD87,51.91,935.0,939.0,935.0,939.0,936.78,45.00,943.50,"42,155.00",2,-4.5,4.00,-0.48,0.43,0.24,,,"1,000.00",895.00
2024-04-07,125,MBLD87,51.43,931.0,931.0,931.0,931.0,931.00,25.00,939.00,"23,275.00",1,-8.0,0.00,-0.85,0.0,0.0,,,"1,000.00",895.00
2024-04-15,127,MBLD87,57.52,968.5,997.0,968.5,997.0,982.68,85.00,931.00,"83,527.70",5,66.00,28.5,7.09,2.94,1.44,,,"1,000.00",895.00
2024-04-16,126,MBLD87,46.72,980.0,980.0,980.0,980.0,980.00,25.00,997.00,"24,500.00",1,-17.0,0.0,-1.71,0.0,0.0,,,"1,000.00",895.00
2024-04-18,127,MBLD87,53.87,998.0,999.0,998.0,998.0,998.70,250.00,980.00,"249,675.00",5,18.0,1.0,1.84,0.1,-0.07,,,"1,000.00",895.00
2024-04-21,119,MBLD87,51.07,986.0,986.0,986.0,986.0,986.00,25.00,998.00,"24,650.00",1,-12.0,0.0,-1.2,0.0,0.0,,,"1,000.00",895.00
2024-04-28,133,MBLD87,65.95,969.0,969.0,969.0,969.0,965.47,43.00,950.00,"41,515.00",2,19.00,0.00,2.0,0.0,0.36,0.00,0.00,"1,005.70",895.00
2024-04-29,126,MBLD87,48.62,997.0,1000.0,997.0,1000.0,999.70,250.00,987.00,"249,925.00",5,13.0,3.0,1.32,0.3,0.03,,,"1,000.00",895.00
2024-04-30,130,MBLD87,38.19,982.0,982.0,982.0,982.0,982.00,25.00,"1,000.00","24,550.00",1,-18.00,0.00,-1.8,0.0,0.0,,,"1,000.00",895.00
2024-05-07,127,MBLD87,35.99,963.0,963.0,963.0,963.0,963.00,25.00,982.00,"24,075.00",1,-19.00,0.0,-1.93,0.0,0.0,,,"1,000.00",895.00
2024-05-12,125,MBLD87,38.82,982.2,982.2,982.2,982.2,982.20,25.00,963.00,"24,555.00",1,19.20,0.0,1.99,0.0,0.0,,,"1,000.00",895.00
2024-05-14,131,MBLD87,44.68,992.0,1000.0,992.0,1000.0,996.00,50.00,982.20,"49,800.00",2,17.8,8.0,1.81,0.81,0.4,,,"1,000.00",895.00
2024-05-16,132,MBLD87,41.4,990.2,990.2,990.2,990.2,990.20,25.00,"1,000.00","24,755.00",1,-9.8,0.0,-0.98,0.0,0.0,,,"1,000.00",895.00
2024-05-19,131,MBLD87,54.92,991.0,1000.0,990.2,1000.0,996.69,195.00,990.20,"194,354.00",5,9.8,9.8,0.99,0.99,0.33,,,"1,000.00",895.00
2024-05-27,127,MBLD87,48.63,980.1,980.1,980.1,980.1,980.10,66.00,"1,000.00","64,686.60",2,-19.9,0.0,-1.99,0.0,0.0,,,"1,000.00",895.00
2024-06-02,129,MBLD87,41.07,981.0,981.0,981.0,981.0,981.00,25.00,980.10,"24,525.00",1,0.90,0.00,0.09,0.0,0.0,,,"1,000.00",895.00
