Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2022-08-04,88,MDB,37.69,435.0,435.0,415.0,418.0,419.67,"22,427.00",431.00,"9,412,016.90",154,-13.0,20.0,-3.02,4.82,-0.4,873.20,308.00,,
2022-08-05,86,MDB,32.64,418.0,420.0,403.6,403.6,409.47,"9,642.00",418.00,"3,948,076.00",64,-14.4,16.4,-3.44,4.06,-1.45,873.20,308.00,,
2022-08-07,86,MDB,31.15,405.0,418.0,400.9,412.0,409.63,"13,904.00",403.60,"5,695,452.80",94,8.4,17.1,2.08,4.27,0.58,873.20,308.00,,
2022-08-08,86,MDB,31.86,417.0,420.0,400.1,408.0,408.78,"9,093.00",412.00,"3,717,047.30",85,-4.00,19.90,-0.97,4.97,-0.19,873.20,308.00,,
2022-08-09,90,MDB,32.47,400.0,403.0,388.1,388.2,393.77,"15,423.00",408.00,"6,073,044.90",128,-19.8,14.9,-4.85,3.84,-1.43,873.20,308.00,,
2022-08-10,92,MDB,30.46,383.0,394.9,382.0,385.0,386.47,"12,751.00",388.20,"4,927,935.70",76,-3.2,12.90,-0.82,3.38,-0.38,873.20,308.00,,
2022-08-11,92,MDB,28.22,389.0,391.0,378.0,380.0,384.02,"11,560.00",385.00,"4,439,311.50",64,-5.00,13.00,-1.3,3.44,-1.06,873.20,308.00,,
2022-08-14,91,MDB,20.16,380.0,387.6,367.0,367.1,378.11,"9,034.00",380.00,"3,415,870.30",55,-12.9,20.6,-3.39,5.61,-3.0,873.20,308.00,,
2022-08-15,86,MDB,44.08,368.0,396.0,368.0,396.0,385.79,"15,286.00",367.10,"5,897,200.40",107,28.9,28.0,7.87,7.61,2.58,873.20,308.00,,
2022-08-16,91,MDB,36.42,403.0,404.0,382.2,383.0,394.81,"20,199.00",396.00,"7,974,775.00",124,-13.00,21.80,-3.28,5.7,-3.08,873.20,308.00,,
2022-08-17,90,MDB,46.13,390.6,399.9,385.0,390.0,392.89,"13,065.00",383.00,"5,133,152.70",75,7.0,14.9,1.83,3.87,-0.74,873.20,308.00,,
2022-08-18,88,MDB,41.82,397.8,407.0,391.0,402.0,400.87,"19,361.00",390.00,"7,761,170.30",106,12.0,16.0,3.08,4.09,0.28,873.20,308.00,,
2022-08-21,87,MDB,44.12,405.0,415.0,401.8,404.5,405.83,"15,506.00",402.00,"6,292,838.00",92,2.5,13.2,0.62,3.29,-0.33,860.00,308.00,,
2022-08-22,88,MDB,39.79,400.0,407.0,394.5,396.0,398.20,"9,267.00",404.50,"3,690,150.60",69,-8.5,12.5,-2.1,3.17,-0.56,860.00,308.00,,
2022-08-23,88,MDB,35.87,397.2,401.0,395.2,395.2,397.46,"5,807.00",396.00,"2,308,072.60",42,-0.8,5.8,-0.2,1.47,-0.57,860.00,308.00,,
2022-08-24,88,MDB,33.35,402.0,403.0,392.1,401.0,397.34,"6,903.00",395.20,"2,742,844.80",49,5.8,10.9,1.47,2.78,0.91,860.00,308.00,,
2022-08-25,90,MDB,38.23,402.0,408.7,391.0,391.0,395.57,"14,782.00",401.00,"5,847,285.00",61,-10.0,17.7,-2.49,4.53,-1.17,860.00,308.00,,
2022-08-26,85,MDB,28.46,391.0,391.0,385.0,385.0,386.62,"5,172.00",391.00,"1,999,587.00",51,-6.0,6.0,-1.53,1.56,-0.42,860.00,308.00,,
