Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2022-12-01,151,MLBLD89,64.26,1116.9,1116.9,1116.9,1116.9,"1,118.92",11.00,"1,095.00","12,308.10",2,21.90,0.00,2.0,0.0,-0.18,0.00,0.00,"1,145.40","1,000.00"
2022-12-14,151,MLBLD89,64.26,1116.9,1116.9,1116.9,1116.9,"1,118.92",11.00,"1,095.00","12,308.10",2,21.90,0.00,2.0,0.0,-0.18,0.00,0.00,"1,145.40","1,000.00"
2023-01-30,151,MLBLD89,64.26,1116.9,1116.9,1116.9,1116.9,"1,118.92",11.00,"1,095.00","12,308.10",2,21.90,0.00,2.0,0.0,-0.18,0.00,0.00,"1,145.40","1,000.00"
2023-04-07,151,MLBLD89,64.26,1116.9,1116.9,1116.9,1116.9,"1,118.92",11.00,"1,095.00","12,308.10",2,21.90,0.00,2.0,0.0,-0.18,0.00,0.00,"1,145.40","1,000.00"
2023-04-15,151,MLBLD89,64.26,1116.9,1116.9,1116.9,1116.9,"1,118.92",11.00,"1,095.00","12,308.10",2,21.90,0.00,2.0,0.0,-0.18,0.00,0.00,"1,145.40","1,000.00"
2023-04-18,151,MLBLD89,64.26,1116.9,1116.9,1116.9,1116.9,"1,118.92",11.00,"1,095.00","12,308.10",2,21.90,0.00,2.0,0.0,-0.18,0.00,0.00,"1,145.40","1,000.00"
2023-04-27,151,MLBLD89,64.26,1116.9,1116.9,1116.9,1116.9,"1,118.92",11.00,"1,095.00","12,308.10",2,21.90,0.00,2.0,0.0,-0.18,0.00,0.00,"1,145.40","1,000.00"
2023-05-08,151,MLBLD89,64.26,1116.9,1116.9,1116.9,1116.9,"1,118.92",11.00,"1,095.00","12,308.10",2,21.90,0.00,2.0,0.0,-0.18,0.00,0.00,"1,145.40","1,000.00"
2023-05-10,151,MLBLD89,64.26,1116.9,1116.9,1116.9,1116.9,"1,118.92",11.00,"1,095.00","12,308.10",2,21.90,0.00,2.0,0.0,-0.18,0.00,0.00,"1,145.40","1,000.00"
2023-05-23,151,MLBLD89,64.26,1116.9,1116.9,1116.9,1116.9,"1,118.92",11.00,"1,095.00","12,308.10",2,21.90,0.00,2.0,0.0,-0.18,0.00,0.00,"1,145.40","1,000.00"
