Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2022-08-16,100,MLBLPO,38.05,211.0,211.0,211.0,211.0,211.00,940.00,211.00,"198,340.00",1,0.00,0.00,0.0,0.0,0.0,315.00,211.00,,
2022-12-01,152,MLBLPO,52.54,155.0,155.0,155.0,155.0,155.00,"7,000.00",155.00,"1,085,000.00",4,0.00,0.00,0.0,0.0,0.0,167.90,155.00,0.00,0.00
2022-12-14,152,MLBLPO,52.54,155.0,155.0,155.0,155.0,155.00,"7,000.00",155.00,"1,085,000.00",4,0.00,0.00,0.0,0.0,0.0,167.90,155.00,0.00,0.00
2023-01-30,152,MLBLPO,52.54,155.0,155.0,155.0,155.0,155.00,"7,000.00",155.00,"1,085,000.00",4,0.00,0.00,0.0,0.0,0.0,167.90,155.00,0.00,0.00
2023-02-09,116,MLBLPO,31.47,189.2,189.2,189.2,189.2,189.20,"7,746.00",193.00,"1,465,543.20",1,-3.8,0.0,-1.97,0.0,0.0,229.00,189.20,,
2023-04-02,113,MLBLPO,24.6,189.2,189.2,189.2,189.2,189.20,"25,000.00",189.20,"4,730,000.00",1,0.0,0.0,0.0,0.0,0.0,229.00,189.20,,
2023-04-07,152,MLBLPO,52.54,155.0,155.0,155.0,155.0,155.00,"7,000.00",155.00,"1,085,000.00",4,0.00,0.00,0.0,0.0,0.0,167.90,155.00,0.00,0.00
2023-04-15,152,MLBLPO,52.54,155.0,155.0,155.0,155.0,155.00,"7,000.00",155.00,"1,085,000.00",4,0.00,0.00,0.0,0.0,0.0,167.90,155.00,0.00,0.00
2023-04-18,152,MLBLPO,52.54,155.0,155.0,155.0,155.0,155.00,"7,000.00",155.00,"1,085,000.00",4,0.00,0.00,0.0,0.0,0.0,167.90,155.00,0.00,0.00
2023-04-27,152,MLBLPO,52.54,155.0,155.0,155.0,155.0,155.00,"7,000.00",155.00,"1,085,000.00",4,0.00,0.00,0.0,0.0,0.0,167.90,155.00,0.00,0.00
2023-05-08,152,MLBLPO,52.54,155.0,155.0,155.0,155.0,155.00,"7,000.00",155.00,"1,085,000.00",4,0.00,0.00,0.0,0.0,0.0,167.90,155.00,0.00,0.00
2023-05-10,152,MLBLPO,52.54,155.0,155.0,155.0,155.0,155.00,"7,000.00",155.00,"1,085,000.00",4,0.00,0.00,0.0,0.0,0.0,167.90,155.00,0.00,0.00
2023-05-17,114,MLBLPO,20.79,185.5,185.5,185.5,185.5,185.50,"2,003.00",189.20,"371,556.50",1,-3.7,0.0,-1.96,0.0,0.0,211.00,185.50,,
2023-05-23,152,MLBLPO,52.54,155.0,155.0,155.0,155.0,155.00,"7,000.00",155.00,"1,085,000.00",4,0.00,0.00,0.0,0.0,0.0,167.90,155.00,0.00,0.00
2023-06-15,120,MLBLPO,44.49,181.8,181.8,174.7,174.7,176.36,"189,277.00",185.50,"33,380,858.60",3,-10.8,7.10,-5.82,4.06,-0.95,211.00,174.70,,
2023-07-12,130,MLBLPO,37.04,174.7,174.7,174.7,174.7,174.70,"2,461.00",174.70,"429,936.70",1,0.0,0.0,0.0,0.0,0.0,211.00,174.70,,
2023-07-16,130,MLBLPO,37.18,174.7,174.7,174.7,174.7,174.70,"2,400.00",174.70,"419,280.00",1,0.00,0.00,0.0,0.0,0.0,211.00,174.70,,
