Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2022-08-04,127,NLBBL,38.3,1056.0,1056.0,1020.0,1020.1,"1,034.81","8,294.00","1,051.00","8,582,706.10",104,-30.9,36.0,-2.94,3.53,-1.44,"1,845.00",796.80
2022-08-05,126,NLBBL,34.43,1040.0,1040.0,990.0,995.0,"1,001.67","4,656.00","1,020.10","4,663,798.00",51,-25.1,50.0,-2.46,5.05,-0.67,"1,725.00",796.80
2022-08-07,130,NLBBL,30.06,1010.0,1014.0,994.0,1010.0,999.69,"2,630.00",995.00,"2,629,184.40",40,15.0,20.0,1.51,2.01,1.02,"1,700.00",796.80
2022-08-08,126,NLBBL,32.49,1020.0,1020.5,989.8,998.0,"1,001.41","3,690.00","1,010.00","3,695,217.40",47,-12.00,30.70,-1.19,3.1,-0.34,"1,700.00",796.80
2022-08-09,133,NLBBL,30.51,986.0,988.0,966.0,966.0,975.92,"3,330.00",998.00,"3,249,810.50",56,-32.0,22.0,-3.21,2.28,-1.03,"1,700.00",796.80
2022-08-10,130,NLBBL,33.17,965.9,966.1,947.0,948.0,959.80,"6,639.00",966.00,"6,372,110.30",64,-18.0,19.10,-1.86,2.02,-1.24,"1,700.00",796.80
2022-08-11,134,NLBBL,31.25,960.0,984.0,944.0,944.0,956.31,"6,403.00",948.00,"6,123,232.30",57,-4.00,40.00,-0.42,4.24,-1.3,"1,700.00",796.80
2022-08-14,133,NLBBL,23.16,944.0,953.0,927.5,928.0,938.17,"2,172.00",944.00,"2,037,715.30",39,-16.0,25.5,-1.69,2.75,-1.1,"1,700.00",796.80
2022-08-15,125,NLBBL,38.88,935.0,974.0,922.1,974.0,950.39,"6,364.00",928.00,"6,048,301.20",63,46.0,51.9,4.96,5.63,2.42,"1,700.00",796.80
2022-08-16,132,NLBBL,37.27,975.0,994.5,954.6,955.0,972.24,"10,607.00",974.00,"10,312,530.60",95,-19.00,39.90,-1.95,4.18,-1.81,"1,700.00",796.80
2022-08-17,129,NLBBL,39.23,972.7,982.0,968.1,968.1,973.75,"2,010.00",955.00,"1,957,237.30",19,13.1,13.9,1.37,1.44,-0.58,"1,700.00",796.80
2022-08-18,128,NLBBL,41.37,968.0,1000.0,968.0,1000.0,986.77,"2,282.00",968.10,"2,251,818.90",42,31.9,32.0,3.3,3.31,1.32,"1,700.00",796.80
2022-08-21,127,NLBBL,40.95,990.0,1002.0,980.0,980.0,992.47,"3,249.00","1,000.00","3,224,532.20",49,-20.0,22.0,-2.0,2.24,-1.27,"1,645.00",796.80
2022-08-22,129,NLBBL,42.11,967.4,985.0,965.0,984.0,972.88,"1,697.00",980.00,"1,650,980.70",24,4.0,20.0,0.41,2.07,1.13,"1,645.00",796.80
2022-08-23,130,NLBBL,33.3,990.0,991.0,971.0,971.0,974.36,297.00,984.00,"289,384.00",11,-13.0,20.0,-1.32,2.06,-0.35,"1,645.00",796.80
2022-08-24,129,NLBBL,36.71,973.0,980.0,970.1,971.1,975.38,"4,259.00",971.00,"4,154,133.40",29,0.1,9.9,0.01,1.02,-0.44,"1,645.00",796.80
2022-08-25,130,NLBBL,35.95,957.0,985.0,957.0,960.0,971.89,"2,069.00",971.10,"2,010,847.00",36,-11.1,28.0,-1.14,2.93,-1.24,"1,630.00",796.80
2022-08-26,123,NLBBL,29.17,944.0,949.0,940.1,944.1,945.22,643.00,960.00,"607,779.40",19,-15.9,8.9,-1.66,0.95,-0.12,"1,628.00",796.80
2022-08-28,132,NLBBL,34.37,938.0,948.0,920.1,920.1,929.02,"3,189.00",944.10,"2,962,652.70",53,-24.0,27.9,-2.54,3.03,-0.97,"1,574.00",796.80
2022-08-29,131,NLBBL,31.26,920.0,938.0,920.0,925.0,926.47,"2,572.00",920.10,"2,382,871.50",26,4.9,18.0,0.53,1.96,-0.16,"1,574.00",796.80
2022-08-30,133,NLBBL,30.17,943.5,945.0,924.7,929.2,930.00,"1,572.00",925.00,"1,461,963.40",20,4.2,20.3,0.45,2.2,-0.09,"1,555.00",796.80
2022-08-31,129,NLBBL,29.83,925.0,925.0,911.1,911.1,914.47,"1,610.00",929.20,"1,472,291.90",35,-18.1,13.9,-1.95,1.53,-0.37,"1,555.00",796.80
2022-09-01,129,NLBBL,36.74,900.0,918.0,890.0,892.0,903.01,"4,496.00",911.10,"4,059,942.00",55,-19.1,28.0,-2.1,3.15,-1.23,"1,539.00",796.80
2022-09-02,128,NLBBL,28.9,903.0,909.0,885.1,900.0,895.37,"1,025.00",892.00,"917,751.00",20,8.0,23.9,0.9,2.7,0.51,"1,539.00",796.80
2022-09-04,134,NLBBL,28.33,915.0,915.0,890.0,909.0,901.60,"1,198.00",900.00,"1,080,117.00",16,9.0,25.0,1.0,2.81,0.81,"1,525.00",796.80
2022-09-05,130,NLBBL,35.25,900.0,908.0,896.1,908.0,899.33,"1,890.00",909.00,"1,699,740.60",25,-1.0,11.9,-0.11,1.33,0.95,"1,525.00",796.80
2022-09-06,130,NLBBL,31.99,900.1,900.1,892.0,892.0,896.62,428.00,908.00,"383,755.10",12,-16.0,8.1,-1.76,0.91,-0.52,"1,525.00",796.80
2022-09-07,132,NLBBL,30.12,880.1,898.9,880.1,898.9,887.77,340.00,892.00,"301,841.10",12,6.9,18.8,0.77,2.14,1.24,"1,525.00",796.80
2022-09-08,131,NLBBL,36.02,899.9,899.9,881.3,895.0,888.98,"2,512.00",898.90,"2,233,113.40",40,-3.9,18.6,-0.43,2.11,0.67,"1,525.00",796.80
2022-09-11,127,NLBBL,31.66,907.0,907.0,883.0,883.0,893.30,"1,838.00",895.00,"1,641,886.00",25,-12.0,24.0,-1.34,2.72,-1.17,"1,517.70",796.80
2022-09-12,129,NLBBL,36.6,895.0,895.0,859.0,879.0,870.22,"2,166.00",883.00,"1,884,895.00",44,-4.0,36.0,-0.45,4.19,1.0,"1,517.70",796.80
2022-09-13,135,NLBBL,34.87,885.0,894.5,880.0,887.0,888.43,"1,310.00",879.00,"1,163,838.80",31,8.0,14.5,0.91,1.65,-0.16,"1,517.70",796.80
2022-09-14,132,NLBBL,45.01,900.0,921.0,898.0,918.0,909.95,"2,248.00",887.00,"2,045,567.20",31,31.0,23.0,3.49,2.56,0.88,"1,517.70",796.80
2022-09-15,134,NLBBL,40.86,918.0,918.0,873.0,873.5,894.95,"2,784.00",918.00,"2,491,554.50",42,-44.5,45.0,-4.85,5.15,-2.46,"1,517.70",796.80
2022-09-16,127,NLBBL,37.89,865.0,877.0,863.0,877.0,864.59,"1,248.00",873.50,"1,079,014.00",12,3.5,14.0,0.4,1.62,1.41,"1,517.70",796.80
2022-09-18,136,NLBBL,34.26,863.2,863.2,835.4,836.2,851.19,"6,517.00",877.00,"5,547,191.30",68,-40.8,27.8,-4.65,3.33,-1.79,"1,517.70",796.80
2022-09-20,139,NLBBL,27.16,820.0,836.4,809.0,835.0,817.60,"2,003.00",836.20,"1,637,648.00",46,-1.2,27.4,-0.14,3.39,2.08,"1,517.70",796.80
2022-09-21,134,NLBBL,31.51,819.0,865.0,809.0,821.0,834.22,"1,281.00",835.00,"1,068,642.00",24,-14.0,56.0,-1.68,6.92,-1.61,"1,517.70",796.80
