Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2022-08-04,132,NMB50,33.86,13.0,13.0,12.57,12.64,12.81,"10,300.00",13.05,"131,901.00",12,-0.41,0.43,-3.14,3.42,-1.31,17.42,10.72,,
2022-08-05,131,NMB50,49.32,12.89,13.0,12.47,12.7,12.79,"134,990.00",12.64,"1,726,843.24",49,0.06,0.53,0.47,4.25,-0.73,17.42,10.72,,
2022-08-07,135,NMB50,55.98,12.9,12.9,12.41,12.87,12.71,"133,557.00",12.70,"1,697,285.03",44,0.17,0.49,1.34,3.95,1.26,17.42,10.72,,
2022-08-08,131,NMB50,35.16,12.88,12.88,12.63,12.7,12.77,"22,514.00",12.87,"287,600.47",14,-0.17,0.25,-1.32,1.98,-0.58,17.42,10.72,,
2022-08-09,138,NMB50,49.92,12.7,12.7,12.44,12.7,12.48,"20,330.00",12.70,"253,699.05",14,0.0,0.26,0.0,2.09,1.74,17.42,10.72,,
2022-08-10,135,NMB50,41.8,12.8,12.8,12.51,12.68,12.62,"2,800.00",12.70,"35,327.00",7,-0.02,0.29,-0.16,2.32,0.5,17.42,10.72,,
2022-08-11,139,NMB50,28.38,12.87,12.87,12.61,12.61,12.71,"8,848.00",12.68,"112,466.00",8,-0.07,0.26,-0.55,2.06,-0.8,17.42,10.72,,
2022-08-14,138,NMB50,41.87,12.62,12.7,12.2,12.7,12.36,"57,381.00",12.61,"709,439.27",28,0.09,0.5,0.71,4.1,2.65,17.20,10.72,,
2022-08-15,130,NMB50,36.73,12.5,12.71,12.45,12.6,12.51,"117,002.00",12.70,"1,463,440.00",37,-0.1,0.26,-0.79,2.09,0.73,17.20,10.72,,
2022-08-16,137,NMB50,29.26,10.4,10.5,10.11,10.11,10.33,"37,940.00",10.49,"392,012.40",21,-0.38,0.39,-3.62,3.86,-2.2,16.95,10.11,,
2022-08-17,134,NMB50,27.24,10.11,10.12,9.92,10.11,10.09,"30,140.00",10.11,"303,964.40",21,0.0,0.2,0.0,2.02,0.25,16.90,9.92,,
2022-08-18,133,NMB50,28.11,10.0,10.15,9.97,10.0,10.07,"20,300.00",10.11,"204,455.00",14,-0.11,0.18,-1.09,1.81,-0.72,16.64,9.92,,
2022-08-21,132,NMB50,26.28,10.1,10.5,10.1,10.4,10.33,"25,415.00",10.00,"262,454.50",12,0.4,0.4,4.0,3.96,0.7,16.27,9.92,,
2022-08-22,134,NMB50,40.95,10.4,10.6,10.4,10.4,10.54,"11,525.00",10.40,"121,465.00",14,0.0,0.2,0.0,1.92,-1.34,16.27,9.92,,
2022-08-23,135,NMB50,37.77,10.5,10.65,10.44,10.44,10.52,"6,450.00",10.40,"67,847.80",8,0.04,0.21,0.38,2.01,-0.76,16.27,9.92,,
2022-08-24,134,NMB50,40.04,10.44,10.44,10.25,10.35,10.32,"8,600.00",10.44,"88,764.00",3,-0.09,0.19,-0.86,1.85,0.28,16.27,9.92,,
2022-08-25,135,NMB50,33.57,10.3,10.3,10.3,10.3,10.30,"1,790.00",10.35,"18,437.00",2,-0.05,0.0,-0.48,0.0,0.0,16.27,9.92,,
2022-08-26,128,NMB50,37.33,10.3,10.5,10.1,10.1,10.22,"10,622.00",10.30,"108,507.20",12,-0.2,0.4,-1.94,3.96,-1.14,16.27,9.92,,
2022-08-28,137,NMB50,38.18,10.0,10.49,10.0,10.09,10.27,"69,364.00",10.10,"712,386.92",16,-0.01,0.49,-0.1,4.9,-1.79,16.27,9.92,,
2022-08-29,136,NMB50,32.0,10.29,10.29,10.1,10.1,10.14,"6,730.00",10.09,"68,258.70",8,0.01,0.19,0.1,1.88,-0.42,16.27,9.92,,
2022-08-30,138,NMB50,33.85,10.05,10.12,10.0,10.01,10.04,"15,100.00",10.10,"151,642.00",7,-0.09,0.12,-0.89,1.2,-0.32,16.06,9.92,,
2022-08-31,134,NMB50,34.05,10.07,10.21,9.97,9.97,10.05,"10,492.00",10.01,"105,482.44",12,-0.04,0.24,-0.4,2.41,-0.84,16.06,9.92,,
2022-09-01,134,NMB50,36.66,10.08,10.1,9.91,9.98,10.04,"20,230.00",9.97,"203,144.30",11,0.01,0.19,0.1,1.92,-0.62,16.06,9.91,,
2022-09-02,133,NMB50,35.45,10.0,10.0,9.81,9.85,9.91,"17,500.00",9.98,"173,356.00",7,-0.13,0.19,-1.3,1.94,-0.57,16.06,9.81,,
2022-09-04,140,NMB50,33.57,9.9,9.9,9.86,9.89,9.88,"9,000.00",9.85,"88,900.00",4,0.04,0.04,0.41,0.41,0.12,13.68,9.81,,
2022-09-05,135,NMB50,35.19,10.08,10.08,9.88,9.9,9.92,"11,515.00",9.89,"114,191.20",9,0.01,0.2,0.1,2.02,-0.17,13.68,9.81,,
2022-09-06,135,NMB50,30.72,9.9,9.9,9.9,9.9,9.90,"2,900.00",9.90,"28,710.00",3,0.0,0.0,0.0,0.0,0.0,13.68,9.81,,
2022-09-07,137,NMB50,31.55,10.0,10.02,10.0,10.02,10.00,"2,200.00",9.90,"22,004.00",3,0.12,0.02,1.21,0.2,0.18,13.68,9.81,,
2022-09-08,136,NMB50,30.21,9.91,9.91,9.91,9.91,9.91,500.00,10.02,"4,955.00",1,-0.11,0.0,-1.1,0.0,0.0,13.68,9.81,,
2022-09-11,132,NMB50,27.18,9.92,9.92,9.72,9.72,9.82,"4,978.00",9.91,"48,875.76",10,-0.19,0.2,-1.92,2.06,-1.01,13.68,9.72,,
2022-09-13,141,NMB50,25.38,9.85,9.85,9.7,9.7,9.82,"2,300.00",9.72,"22,595.00",4,-0.02,0.15,-0.21,1.55,-1.28,13.68,9.70,,
2022-09-14,138,NMB50,26.43,9.89,9.9,9.85,9.85,9.85,"10,000.00",9.70,"98,529.00",8,0.15,0.05,1.55,0.51,-0.03,13.68,9.70,,
2022-09-15,139,NMB50,33.12,9.85,9.85,9.19,9.3,9.40,"53,320.00",9.85,"501,150.35",28,-0.55,0.66,-5.58,7.18,-1.06,13.68,9.19,,
2022-09-16,133,NMB50,35.69,9.3,9.3,8.94,8.94,9.08,"33,880.00",9.30,"307,778.00",14,-0.36,0.36,-3.87,4.03,-1.61,13.68,8.94,,
2022-09-18,142,NMB50,28.62,9.11,9.11,8.77,8.79,8.82,"19,500.00",8.94,"172,036.50",16,-0.15,0.34,-1.68,3.88,-0.37,13.68,8.77,,
2022-09-20,144,NMB50,26.93,8.96,9.13,8.96,9.13,8.99,"8,400.00",8.79,"75,480.00",7,0.34,0.17,3.87,1.9,1.58,13.68,8.77,,
2022-09-21,139,NMB50,40.06,8.97,9.31,8.97,9.3,9.27,"12,082.00",9.13,"112,022.52",10,0.17,0.34,1.86,3.79,0.3,13.68,8.77,,
2022-09-22,140,NMB50,41.52,9.12,9.3,9.12,9.15,9.14,"10,625.00",9.30,"97,087.50",3,-0.15,0.18,-1.61,1.97,0.14,13.68,8.77,,
2022-09-25,140,NMB50,32.9,8.98,9.1,8.97,8.97,8.99,"1,900.00",9.15,"17,072.00",7,-0.18,0.13,-1.97,1.45,-0.17,13.68,8.77,,
2022-09-27,141,NMB50,30.84,9.14,9.14,9.14,9.14,9.14,"1,000.00",8.97,"9,140.00",1,0.17,0.0,1.9,0.0,0.0,13.68,8.77,,
2022-09-29,135,NMB50,29.23,9.31,9.31,9.2,9.2,9.26,"1,900.00",9.14,"17,590.00",2,0.06,0.11,0.66,1.2,-0.63,13.68,8.77,,
2022-10-09,136,NMB50,36.95,9.2,9.35,9.2,9.35,9.28,550.00,9.20,"5,105.00",2,0.15,0.15,1.63,1.63,0.73,13.68,8.77,,
2022-10-10,145,NMB50,47.48,9.5,9.54,9.36,9.54,9.50,"55,400.00",9.35,"526,464.00",9,0.19,0.18,2.03,1.92,0.39,13.68,8.77,,
2022-10-11,142,NMB50,42.46,9.55,9.6,9.54,9.6,9.55,"7,500.00",9.54,"71,632.50",6,0.06,0.06,0.63,0.63,0.51,13.68,8.77,,
2022-10-12,136,NMB50,39.81,9.61,9.61,9.6,9.6,9.61,700.00,9.60,"6,724.00",3,0.0,0.01,0.0,0.1,-0.06,13.68,8.77,,
2022-10-13,136,NMB50,40.32,9.74,9.75,9.74,9.75,9.75,462.00,9.60,"4,502.50",2,0.15,0.01,1.56,0.1,0.04,13.68,8.77,,
2022-10-16,134,NMB50,46.15,9.8,9.8,9.56,9.56,9.68,"22,950.00",9.75,"222,057.50",7,-0.19,0.24,-1.95,2.51,-1.21,13.68,8.77,,
2022-10-19,132,NMB50,25.67,9.68,9.68,9.4,9.4,9.50,400.00,9.56,"3,798.00",3,-0.16,0.28,-1.67,2.98,-1.01,13.68,8.77,,
2022-10-20,135,NMB50,25.91,9.4,9.55,9.36,9.36,9.46,"2,000.00",9.40,"18,912.00",5,-0.04,0.19,-0.43,2.03,-1.03,13.68,8.77,,
2022-10-23,138,NMB50,27.72,9.3,9.3,9.12,9.12,9.13,"10,830.00",9.36,"98,879.40",5,-0.24,0.18,-2.56,1.97,-0.11,13.68,8.77,,
2022-10-31,138,NMB50,26.72,9.3,9.3,9.06,9.1,9.20,"10,110.00",9.12,"92,989.25",8,-0.02,0.24,-0.22,2.65,-1.07,13.68,8.77,,
2022-11-01,142,NMB50,37.62,9.0,9.15,9.0,9.15,9.10,"39,350.00",9.10,"358,212.00",10,0.05,0.15,0.55,1.67,0.51,13.68,8.77,,
2022-11-03,135,NMB50,25.29,9.32,9.32,9.32,9.32,9.32,600.00,9.15,"5,592.00",1,0.17,0.00,1.86,0.0,0.0,13.68,8.77,,
2022-11-06,141,NMB50,41.89,9.28,9.4,9.28,9.4,9.33,"5,285.00",9.32,"49,308.50",7,0.08,0.12,0.86,1.29,0.75,13.68,8.77,,
2022-11-07,139,NMB50,44.65,9.58,9.77,9.58,9.77,9.58,"4,531.00",9.40,"43,425.98",2,0.37,0.19,3.94,1.98,1.9,13.68,8.77,,
2022-11-08,139,NMB50,45.41,9.58,9.77,9.58,9.77,9.66,"1,200.00",9.77,"11,591.00",5,0.0,0.19,0.0,1.98,1.13,13.68,8.77,,
2022-11-09,139,NMB50,40.54,9.59,9.59,9.59,9.59,9.59,100.00,9.77,959.00,1,-0.18,0.0,-1.84,0.0,0.0,13.68,8.77,,
2022-11-10,139,NMB50,26.27,9.4,9.4,9.3,9.3,9.35,"1,935.00",9.59,"18,099.00",3,-0.29,0.1,-3.02,1.08,-0.58,13.68,8.77,,
2022-11-13,141,NMB50,21.59,9.12,9.15,9.12,9.15,9.14,550.00,9.30,"5,026.50",3,-0.15,0.03,-1.61,0.33,0.12,13.68,8.77,,
2022-11-14,141,NMB50,25.02,9.33,9.33,9.33,9.33,9.33,482.00,9.15,"4,497.06",1,0.18,0.0,1.97,0.0,0.0,13.68,8.77,,
2022-11-15,141,NMB50,30.66,9.15,9.15,9.0,9.14,9.03,"8,100.00",9.33,"73,151.00",6,-0.19,0.15,-2.04,1.67,1.19,13.68,8.77,,
2022-11-16,143,NMB50,29.89,9.0,9.01,8.98,8.98,8.99,"8,918.00",9.14,"80,165.64",8,-0.16,0.03,-1.75,0.33,-0.1,13.68,8.77,,
2022-11-17,137,NMB50,40.37,9.15,9.15,9.15,9.15,9.15,"5,100.00",8.98,"46,665.00",2,0.17,0.00,1.89,0.0,0.0,13.68,8.77,,
2022-11-24,143,NMB50,48.21,9.15,9.51,9.15,9.51,9.40,"6,609.00",9.15,"62,145.32",6,0.36,0.36,3.93,3.93,1.12,13.68,8.77,,
2022-11-27,148,NMB50,49.53,9.51,9.6,9.41,9.41,9.49,"3,810.00",9.51,"36,161.00",5,-0.1,0.19,-1.05,2.02,-0.86,13.68,8.77,,
2022-11-28,148,NMB50,46.91,9.23,9.26,9.23,9.26,9.24,460.00,9.41,"4,250.80",3,-0.15,0.03,-1.59,0.33,0.21,13.68,8.77,,
2022-12-01,202,NMB50,54.24,11.0,11.42,11.0,11.06,11.12,"40,600.00",11.20,"451,438.60",27,-0.14,0.42,-1.25,3.82,-0.54,12.29,8.71,9.76,9.65
2022-12-04,151,NMB50,46.45,9.26,9.26,9.09,9.1,9.14,"20,670.00",9.26,"188,930.20",7,-0.16,0.17,-1.73,1.87,-0.44,13.68,8.77,,
2022-12-06,145,NMB50,38.85,8.94,9.05,8.75,8.75,8.92,"28,375.00",9.10,"252,974.20",13,-0.35,0.3,-3.85,3.43,-1.89,13.68,8.75,,
2022-12-07,152,NMB50,35.58,8.76,8.76,8.55,8.55,8.64,"100,214.00",8.75,"866,040.70",18,-0.2,0.21,-2.29,2.46,-1.08,13.68,8.55,,
2022-12-11,156,NMB50,28.97,8.41,8.73,8.41,8.73,8.55,"2,000.00",8.55,"17,094.00",9,0.18,0.32,2.11,3.8,2.1,13.68,8.41,,
2022-12-12,152,NMB50,29.01,8.9,8.9,8.9,8.9,8.90,"1,000.00",8.73,"8,900.00",2,0.17,0.0,1.95,0.0,0.0,13.68,8.41,,
2022-12-13,151,NMB50,45.81,9.06,9.06,8.88,9.06,8.91,"2,400.00",8.90,"21,373.00",6,0.16,0.18,1.8,2.03,1.71,13.68,8.41,,
2022-12-14,202,NMB50,54.24,11.0,11.42,11.0,11.06,11.12,"40,600.00",11.20,"451,438.60",27,-0.14,0.42,-1.25,3.82,-0.54,12.29,8.71,9.76,9.65
2022-12-15,158,NMB50,43.09,8.94,8.94,8.65,8.72,8.75,"37,175.00",9.12,"325,301.75",17,-0.4,0.29,-4.39,3.35,-0.35,13.68,8.41,,
