Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2022-08-04,135,NMFBS,45.36,2480.0,2515.0,2430.0,2443.0,"2,481.12","8,798.00","2,476.10","21,828,935.00",237,-33.1,85.0,-1.34,3.5,-1.56,"3,925.90","1,745.00",,
2022-08-05,134,NMFBS,39.95,2400.0,2435.0,2360.0,2362.0,"2,378.87","5,891.00","2,443.00","14,013,915.70",161,-81.0,75.0,-3.32,3.18,-0.71,"3,876.00","1,745.00",,
2022-08-07,138,NMFBS,35.72,2400.0,2405.0,2365.1,2395.0,"2,384.21","5,067.00","2,362.00","12,080,790.70",166,33.0,39.9,1.4,1.69,0.45,"3,876.00","1,745.00",,
2022-08-08,134,NMFBS,41.44,2440.0,2468.0,2391.0,2405.0,"2,433.14","10,677.00","2,395.00","25,978,636.30",218,10.00,77.00,0.42,3.22,-1.17,"3,876.00","1,745.00",,
2022-08-09,141,NMFBS,35.99,2405.0,2415.0,2351.0,2354.0,"2,380.49","7,728.00","2,405.00","18,396,430.20",188,-51.0,64.0,-2.12,2.72,-1.13,"3,876.00","1,745.00",,
2022-08-10,138,NMFBS,34.67,2311.0,2380.0,2311.0,2342.0,"2,346.11","4,942.00","2,354.00","11,594,483.20",116,-12.0,69.00,-0.51,2.99,-0.18,"3,876.00","1,745.00",,
2022-08-11,142,NMFBS,31.81,2388.8,2388.8,2307.0,2307.0,"2,338.76","7,732.00","2,342.00","18,083,314.70",201,-35.00,81.80,-1.49,3.55,-1.38,"3,876.00","1,745.00",,
2022-08-14,141,NMFBS,28.24,2315.0,2335.0,2294.0,2301.0,"2,306.08","7,094.00","2,307.00","16,359,343.50",172,-6.0,41.0,-0.26,1.79,-0.22,"3,876.00","1,745.00",,
2022-08-15,133,NMFBS,36.97,2327.8,2375.0,2290.0,2375.0,"2,324.79","4,711.00","2,301.00","10,952,080.50",125,74.0,85.0,3.22,3.71,2.11,"3,876.00","1,745.00",,
2022-08-16,140,NMFBS,27.47,2388.2,2403.0,2310.1,2310.1,"2,354.17","3,339.00","2,375.00","7,860,580.80",123,-64.90,92.90,-2.73,4.02,-1.91,"3,876.00","1,745.00",,
2022-08-17,137,NMFBS,31.16,2270.0,2343.8,2270.0,2325.0,"2,313.39","3,147.00","2,310.10","7,280,236.30",73,14.9,73.8,0.64,3.25,0.5,"3,876.00","1,745.00",,
2022-08-18,136,NMFBS,43.25,2349.0,2371.0,2326.0,2350.0,"2,348.33","3,318.00","2,325.00","7,791,771.60",97,25.0,45.0,1.08,1.93,0.07,"3,876.00","1,745.00",,
2022-08-21,135,NMFBS,23.44,2395.0,2395.0,2317.0,2320.0,"2,334.69","2,197.00","2,350.00","5,129,318.80",68,-30.0,78.0,-1.28,3.37,-0.63,"3,876.00","1,745.00",,
2022-08-22,137,NMFBS,34.9,2310.0,2335.0,2303.0,2325.0,"2,319.67","1,341.00","2,320.00","3,110,676.00",43,5.0,32.0,0.22,1.39,0.23,"3,876.00","1,745.00",,
2022-08-23,138,NMFBS,35.49,2320.0,2329.9,2300.0,2308.5,"2,308.43","2,911.00","2,325.00","6,719,838.80",63,-16.5,29.9,-0.71,1.3,0.0,"3,876.00","1,745.00",,
2022-08-24,137,NMFBS,33.27,2349.0,2350.0,2300.0,2305.0,"2,311.04","2,848.00","2,308.50","6,581,848.00",78,-3.5,50.0,-0.15,2.17,-0.26,"3,876.00","1,745.00",,
2022-08-25,138,NMFBS,35.17,2283.0,2319.0,2283.0,2290.0,"2,300.18","2,382.00","2,305.00","5,479,026.60",68,-15.0,36.0,-0.65,1.58,-0.44,"3,876.00","1,745.00",,
2022-08-26,131,NMFBS,26.93,2290.0,2290.0,2255.0,2269.0,"2,263.21","1,092.00","2,290.00","2,471,428.00",36,-21.0,35.0,-0.92,1.55,0.26,"3,876.00","1,745.00",,
2022-08-28,140,NMFBS,33.62,2255.0,2280.0,2225.0,2225.0,"2,245.58","3,399.00","2,269.00","7,632,738.00",98,-44.0,55.0,-1.94,2.47,-0.93,"3,876.00","1,745.00",,
2022-08-29,139,NMFBS,32.12,2226.0,2226.0,2199.0,2201.0,"2,204.53","3,315.00","2,225.00","7,308,009.60",92,-24.0,27.0,-1.08,1.23,-0.16,"3,876.00","1,745.00",,
2022-08-30,141,NMFBS,28.73,2244.0,2244.0,2180.0,2200.0,"2,206.59","1,495.00","2,201.00","3,298,845.00",57,-1.0,64.0,-0.05,2.94,-0.3,"3,876.00","1,745.00",,
2022-08-31,138,NMFBS,28.38,2200.0,2200.0,2150.0,2159.0,"2,166.41","2,390.00","2,200.00","5,177,714.20",90,-41.0,50.0,-1.86,2.33,-0.34,"3,876.00","1,745.00",,
2022-09-01,137,NMFBS,30.14,2150.0,2188.0,2122.0,2150.0,"2,132.32","1,669.00","2,159.00","3,558,849.00",43,-9.0,66.0,-0.42,3.11,0.82,"3,876.00","1,745.00",,
2022-09-02,136,NMFBS,27.04,2187.0,2188.0,2141.0,2145.0,"2,155.74",330.00,"2,150.00","711,395.00",11,-5.0,47.0,-0.23,2.2,-0.5,"3,876.00","1,745.00",,
2022-09-04,143,NMFBS,31.57,2180.0,2180.0,2139.0,2140.0,"2,148.11","1,730.00","2,145.00","3,716,223.50",46,-5.0,41.0,-0.23,1.92,-0.38,"3,876.00","1,745.00",,
2022-09-05,138,NMFBS,34.89,2179.0,2179.0,2130.0,2140.0,"2,140.60","1,636.00","2,140.00","3,502,028.00",44,0.0,49.0,0.0,2.3,-0.03,"3,876.00","1,745.00",,
2022-09-06,138,NMFBS,35.04,2182.8,2182.8,2100.0,2118.0,"2,110.51","2,164.00","2,140.00","4,567,151.60",81,-22.0,82.8,-1.03,3.94,0.35,"3,876.00","1,745.00",,
2022-09-07,139,NMFBS,30.06,2100.0,2135.0,2090.0,2099.0,"2,104.57","1,095.00","2,118.00","2,304,502.70",45,-19.0,45.0,-0.9,2.15,-0.27,"3,876.00","1,745.00",,
2022-09-08,140,NMFBS,34.6,2128.9,2130.0,2086.4,2096.0,"2,107.16","1,604.00","2,099.00","3,379,891.00",56,-3.0,43.6,-0.14,2.09,-0.53,"3,876.00","1,745.00",,
2022-09-11,135,NMFBS,31.23,2097.1,2119.9,2090.1,2090.1,"2,101.11","1,136.00","2,096.00","2,386,866.10",43,-5.9,29.8,-0.28,1.43,-0.53,"3,876.00","1,745.00",,
2022-09-12,136,NMFBS,32.48,2090.1,2100.0,2080.0,2080.0,"2,088.44","1,161.00","2,090.10","2,424,676.20",54,-10.1,20.0,-0.48,0.96,-0.41,"3,876.00","1,745.00",,
2022-09-13,145,NMFBS,38.57,2120.0,2120.0,2080.0,2100.0,"2,102.57","1,684.00","2,080.00","3,540,728.60",60,20.0,40.0,0.96,1.92,-0.12,"3,876.00","1,745.00",,
