Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2022-12-01,225,PMLI,54.44,583.0,605.0,583.0,594.0,591.10,"29,197.00",589.20,"17,258,338.90",681,4.80,22.00,0.81,3.77,0.49,519.90,0.00,647.80,473.00
2022-12-14,225,PMLI,54.44,583.0,605.0,583.0,594.0,591.10,"29,197.00",589.20,"17,258,338.90",681,4.80,22.00,0.81,3.77,0.49,519.90,0.00,647.80,473.00
2023-01-30,225,PMLI,54.44,583.0,605.0,583.0,594.0,591.10,"29,197.00",589.20,"17,258,338.90",681,4.80,22.00,0.81,3.77,0.49,519.90,0.00,647.80,473.00
2023-04-07,225,PMLI,54.44,583.0,605.0,583.0,594.0,591.10,"29,197.00",589.20,"17,258,338.90",681,4.80,22.00,0.81,3.77,0.49,519.90,0.00,647.80,473.00
2023-04-15,225,PMLI,54.44,583.0,605.0,583.0,594.0,591.10,"29,197.00",589.20,"17,258,338.90",681,4.80,22.00,0.81,3.77,0.49,519.90,0.00,647.80,473.00
2023-04-18,225,PMLI,54.44,583.0,605.0,583.0,594.0,591.10,"29,197.00",589.20,"17,258,338.90",681,4.80,22.00,0.81,3.77,0.49,519.90,0.00,647.80,473.00
2023-04-27,225,PMLI,54.44,583.0,605.0,583.0,594.0,591.10,"29,197.00",589.20,"17,258,338.90",681,4.80,22.00,0.81,3.77,0.49,519.90,0.00,647.80,473.00
2023-05-08,225,PMLI,54.44,583.0,605.0,583.0,594.0,591.10,"29,197.00",589.20,"17,258,338.90",681,4.80,22.00,0.81,3.77,0.49,519.90,0.00,647.80,473.00
2023-05-10,225,PMLI,54.44,583.0,605.0,583.0,594.0,591.10,"29,197.00",589.20,"17,258,338.90",681,4.80,22.00,0.81,3.77,0.49,519.90,0.00,647.80,473.00
2023-05-23,225,PMLI,54.44,583.0,605.0,583.0,594.0,591.10,"29,197.00",589.20,"17,258,338.90",681,4.80,22.00,0.81,3.77,0.49,519.90,0.00,647.80,473.00
2023-09-28,225,PMLI,54.44,583.0,605.0,583.0,594.0,591.10,"29,197.00",589.20,"17,258,338.90",681,4.80,22.00,0.81,3.77,0.49,519.90,0.00,647.80,473.00
2023-12-19,208,PMLI,55.82,598.0,598.0,542.0,589.0,566.50,"81,779.00",0.00,"46,328,067.80",958,589.0,56.00,0.0,10.33,3.82,,,598.00,542.00
2023-12-20,205,PMLI,63.36,589.0,647.8,515.0,613.9,605.31,"58,536.00",589.00,"35,432,619.50",875,24.90,132.80,4.23,25.79,1.4,,,647.80,515.00
2023-12-21,204,PMLI,58.97,615.0,617.0,585.0,601.8,596.57,"23,695.00",613.90,"14,135,698.20",504,-12.10,32.00,-1.97,5.47,0.87,,,647.80,515.00
2023-12-24,208,PMLI,63.21,610.0,620.0,573.0,590.0,599.94,"66,610.00",601.80,"39,962,240.50",913,-11.8,47.00,-1.96,8.2,-1.69,,,647.80,515.00
2023-12-27,206,PMLI,62.74,590.0,617.0,588.3,601.0,603.78,"48,433.00",590.00,"29,242,889.10",818,11.0,28.70,1.86,4.88,-0.46,,,647.80,515.00
2023-12-28,203,PMLI,52.68,590.0,623.7,590.0,623.7,607.68,"47,088.00",601.00,"28,614,414.50",764,22.7,33.7,3.78,5.71,2.57,,,647.80,515.00
2024-01-01,204,PMLI,41.73,612.0,624.0,596.1,598.0,605.06,"38,801.00",623.70,"23,476,972.80",549,-25.7,27.9,-4.12,4.68,-1.18,,,647.80,515.00
2024-01-02,205,PMLI,37.68,598.0,598.0,575.0,575.9,581.85,"11,352.00",598.00,"6,605,156.10",347,-22.1,23.0,-3.7,4.0,-1.03,,,647.80,515.00
2024-01-03,208,PMLI,39.05,587.0,587.0,557.3,577.0,567.65,"14,011.00",575.90,"7,953,395.70",395,1.10,29.7,0.19,5.33,1.62,,,647.80,515.00
2024-01-04,203,PMLI,39.53,582.4,597.0,565.0,579.0,573.81,"18,865.00",577.00,"10,824,921.40",416,2.00,32.00,0.35,5.66,0.9,,,647.80,515.00
2024-01-07,205,PMLI,37.83,567.5,579.0,556.7,557.0,564.05,"13,668.00",579.00,"7,709,400.60",348,-22.0,22.3,-3.8,4.01,-1.27,,,647.80,515.00
2024-01-08,209,PMLI,55.95,557.0,588.8,556.0,578.3,571.16,"13,638.00",557.00,"7,789,478.00",509,21.3,32.80,3.82,5.9,1.23,,,647.80,515.00
2024-01-09,208,PMLI,45.55,580.0,596.0,565.0,569.0,575.91,"16,183.00",578.30,"9,319,918.20",346,-9.3,31.0,-1.61,5.49,-1.21,,,647.80,515.00
2024-01-10,199,PMLI,41.89,558.0,600.0,558.0,565.0,569.34,"8,167.00",569.00,"4,649,795.30",271,-4.0,42.00,-0.7,7.53,-0.77,,,647.80,515.00
2024-01-11,204,PMLI,58.19,555.0,577.4,553.7,568.0,564.64,"17,710.00",565.00,"9,999,809.70",335,3.00,23.7,0.53,4.28,0.59,,,647.80,515.00
2024-01-14,210,PMLI,42.66,565.0,575.0,560.0,564.0,566.80,"10,130.00",568.00,"5,741,639.70",291,-4.0,15.0,-0.7,2.68,-0.5,,,647.80,515.00
2024-01-16,205,PMLI,61.91,575.0,575.2,565.0,571.0,569.22,"20,930.00",564.00,"11,913,878.30",413,7.0,10.2,1.24,1.81,0.31,,,647.80,515.00
2024-01-17,201,PMLI,61.2,579.5,580.0,561.2,569.0,570.20,"20,555.00",571.00,"11,720,546.70",505,-2.0,18.8,-0.35,3.35,-0.21,,,647.80,515.00
2024-01-18,200,PMLI,56.99,558.0,580.3,558.0,568.0,566.71,"22,940.00",569.00,"13,000,376.10",478,-1.0,22.30,-0.18,4.0,0.23,,,647.80,515.00
2024-01-21,206,PMLI,53.85,560.0,571.0,557.6,557.6,565.37,"22,047.00",568.00,"12,464,603.80",493,-10.4,13.40,-1.83,2.4,-1.39,,,647.80,515.00
