Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2022-12-01,260,SBID89,68.4,1000.0,1000.0,1000.0,1000.0,"1,000.00",20.00,"1,015.00","20,000.00",1,-15.00,0.00,-1.48,0.0,0.0,0.00,0.00,"1,030.00",838.00
2022-12-14,260,SBID89,68.4,1000.0,1000.0,1000.0,1000.0,"1,000.00",20.00,"1,015.00","20,000.00",1,-15.00,0.00,-1.48,0.0,0.0,0.00,0.00,"1,030.00",838.00
2023-01-30,260,SBID89,68.4,1000.0,1000.0,1000.0,1000.0,"1,000.00",20.00,"1,015.00","20,000.00",1,-15.00,0.00,-1.48,0.0,0.0,0.00,0.00,"1,030.00",838.00
2023-04-07,260,SBID89,68.4,1000.0,1000.0,1000.0,1000.0,"1,000.00",20.00,"1,015.00","20,000.00",1,-15.00,0.00,-1.48,0.0,0.0,0.00,0.00,"1,030.00",838.00
2023-04-15,260,SBID89,68.4,1000.0,1000.0,1000.0,1000.0,"1,000.00",20.00,"1,015.00","20,000.00",1,-15.00,0.00,-1.48,0.0,0.0,0.00,0.00,"1,030.00",838.00
2023-04-18,260,SBID89,68.4,1000.0,1000.0,1000.0,1000.0,"1,000.00",20.00,"1,015.00","20,000.00",1,-15.00,0.00,-1.48,0.0,0.0,0.00,0.00,"1,030.00",838.00
2023-04-27,260,SBID89,68.4,1000.0,1000.0,1000.0,1000.0,"1,000.00",20.00,"1,015.00","20,000.00",1,-15.00,0.00,-1.48,0.0,0.0,0.00,0.00,"1,030.00",838.00
2023-05-08,260,SBID89,68.4,1000.0,1000.0,1000.0,1000.0,"1,000.00",20.00,"1,015.00","20,000.00",1,-15.00,0.00,-1.48,0.0,0.0,0.00,0.00,"1,030.00",838.00
2023-05-10,260,SBID89,68.4,1000.0,1000.0,1000.0,1000.0,"1,000.00",20.00,"1,015.00","20,000.00",1,-15.00,0.00,-1.48,0.0,0.0,0.00,0.00,"1,030.00",838.00
2023-05-23,260,SBID89,68.4,1000.0,1000.0,1000.0,1000.0,"1,000.00",20.00,"1,015.00","20,000.00",1,-15.00,0.00,-1.48,0.0,0.0,0.00,0.00,"1,030.00",838.00
2023-09-28,260,SBID89,68.4,1000.0,1000.0,1000.0,1000.0,"1,000.00",20.00,"1,015.00","20,000.00",1,-15.00,0.00,-1.48,0.0,0.0,0.00,0.00,"1,030.00",838.00
2024-01-03,240,SBID89,51.96,1000.0,1000.0,1000.0,1000.0,"1,000.00",10.00,0.00,"10,000.00",1,"1,000.00",0.0,0.0,0.0,0.0,,,"1,000.00","1,000.00"
2024-01-11,237,SBID89,41.74,980.0,980.0,904.0,904.0,967.16,285.00,"1,000.00","275,640.00",8,-96.00,76.0,-9.6,8.41,-6.99,,,"1,000.00",904.00
2024-01-14,245,SBID89,45.79,892.0,911.0,892.0,908.0,905.95,215.00,904.00,"194,780.00",8,4.0,19.0,0.44,2.13,0.23,,,"1,000.00",892.00
