Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2022-08-04,190,SLBSL,35.64,1500.6,1530.0,1500.0,1501.0,"1,502.72",829.00,"1,513.00","1,245,751.20",28,-12.0,30.0,-0.79,2.0,-0.11,"1,778.00",951.60,,
2022-08-05,189,SLBSL,38.97,1510.0,1520.0,1475.0,1500.0,"1,497.88","1,414.00","1,501.00","2,118,008.00",24,-1.0,45.0,-0.07,3.05,0.14,"1,760.00",951.60,,
2022-08-07,194,SLBSL,37.98,1500.0,1519.9,1485.0,1500.0,"1,496.98",544.00,"1,500.00","814,358.30",18,0.0,34.9,0.0,2.35,0.2,"1,760.00",951.60,,
2022-08-08,188,SLBSL,44.33,1530.0,1530.0,1478.0,1480.0,"1,500.43",801.00,"1,500.00","1,201,845.00",15,-20.00,52.00,-1.33,3.52,-1.38,"1,760.00",951.60,,
2022-08-09,196,SLBSL,38.67,1500.0,1508.6,1451.0,1451.0,"1,472.71",493.00,"1,480.00","726,044.00",18,-29.0,57.6,-1.96,3.97,-1.5,"1,760.00",951.60,,
2022-08-10,193,SLBSL,33.95,1440.0,1440.0,1425.0,1429.5,"1,429.57",176.00,"1,451.00","251,605.00",5,-21.5,15.00,-1.48,1.05,-0.01,"1,760.00",951.60,,
2022-08-11,196,SLBSL,38.84,1458.0,1460.0,1433.0,1435.0,"1,448.78","1,163.00","1,429.50","1,684,927.10",25,5.50,27.00,0.38,1.88,-0.96,"1,760.00",951.60,,
2022-08-14,199,SLBSL,35.12,1410.0,1434.9,1386.0,1434.9,"1,411.27",664.00,"1,435.00","937,082.00",16,-0.1,48.9,-0.01,3.53,1.65,"1,760.00",951.60,,
2022-08-15,189,SLBSL,46.07,1409.0,1463.0,1408.4,1447.9,"1,422.56",852.00,"1,434.90","1,212,024.40",23,13.0,54.6,0.91,3.88,1.75,"1,760.00",951.60,,
2022-08-16,195,SLBSL,44.43,1421.1,1470.0,1420.0,1439.0,"1,423.10",915.00,"1,447.90","1,302,134.50",22,-8.90,50.00,-0.61,3.52,1.11,"1,760.00",951.60,,
2022-08-17,193,SLBSL,34.4,1467.7,1480.0,1427.9,1427.9,"1,451.59",120.00,"1,439.00","174,190.30",10,-11.1,52.1,-0.77,3.65,-1.66,"1,760.00",951.60,,
2022-08-18,194,SLBSL,38.65,1456.4,1456.4,1430.1,1432.2,"1,444.11",379.00,"1,427.90","547,318.20",22,4.3,26.3,0.3,1.84,-0.83,"1,760.00",951.60,,
2022-08-21,191,SLBSL,40.34,1460.0,1460.0,1418.2,1445.9,"1,422.88",744.00,"1,432.20","1,058,622.40",16,13.7,41.8,0.96,2.95,1.59,"1,760.00",951.60,,
2022-08-22,194,SLBSL,40.75,1417.0,1443.0,1417.0,1443.0,"1,417.72",360.00,"1,445.90","510,380.00",4,-2.9,26.0,-0.2,1.83,1.75,"1,760.00",951.60,,
2022-08-23,195,SLBSL,38.98,1460.0,1471.8,1421.0,1449.0,"1,446.48",110.00,"1,443.00","159,113.00",9,6.0,50.8,0.42,3.57,0.17,"1,760.00",951.60,,
