Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2022-08-04,208,UMRH,43.14,833.0,833.0,765.0,769.0,777.28,"52,673.00",849.90,"40,941,885.50",481,-80.9,68.0,-9.52,8.89,-1.08,"1,150.00",434.00,,
2022-08-05,206,UMRH,31.65,753.7,753.7,715.0,720.0,726.78,"35,113.00",769.00,"25,519,582.90",274,-49.0,38.7,-6.37,5.41,-0.94,"1,150.00",434.00,,
2022-08-07,212,UMRH,33.83,706.0,720.0,692.0,710.0,707.09,"39,317.00",720.00,"27,800,795.30",323,-10.0,28.0,-1.39,4.05,0.41,"1,150.00",434.00,,
2022-08-08,207,UMRH,34.73,716.0,730.3,696.0,705.0,708.67,"15,018.00",710.00,"10,642,750.10",174,-5.00,34.30,-0.7,4.93,-0.52,"1,150.00",434.00,,
2022-08-09,215,UMRH,37.36,707.0,708.0,658.0,671.0,676.04,"40,467.00",705.00,"27,357,228.60",340,-34.0,50.0,-4.82,7.6,-0.75,"1,150.00",434.00,,
2022-08-10,211,UMRH,30.69,661.5,675.0,655.0,668.0,665.90,"13,557.00",671.00,"9,027,643.80",135,-3.0,20.00,-0.45,3.05,0.31,"1,150.00",434.00,,
2022-08-11,216,UMRH,28.97,670.0,699.9,656.0,657.0,671.29,"15,436.00",668.00,"10,362,054.00",132,-11.00,43.90,-1.65,6.69,-2.18,"1,150.00",434.00,,
2022-08-14,220,UMRH,25.91,670.1,674.0,640.0,642.5,656.39,"15,904.00",657.00,"10,439,166.10",155,-14.5,34.0,-2.21,5.31,-2.16,"1,150.00",434.00,,
2022-08-15,208,UMRH,49.0,650.0,678.0,649.0,677.6,661.10,"21,548.00",642.50,"14,245,379.70",180,35.1,29.0,5.46,4.47,2.44,"1,150.00",434.00,,
2022-08-16,214,UMRH,25.42,681.0,685.0,644.0,644.1,668.00,"14,574.00",677.60,"9,735,445.50",151,-33.50,41.00,-4.94,6.37,-3.71,"1,150.00",434.00,,
2022-08-17,212,UMRH,27.83,656.0,666.8,644.3,645.0,650.56,"9,038.00",644.10,"5,879,782.10",109,0.9,22.5,0.14,3.49,-0.86,"1,150.00",434.00,,
2022-08-18,213,UMRH,37.62,642.1,665.0,642.1,654.0,653.09,"11,600.00",645.00,"7,575,860.00",130,9.0,22.9,1.4,3.57,0.14,"1,150.00",434.00,,
2022-08-21,210,UMRH,22.47,667.0,667.0,645.0,651.0,654.54,"12,243.00",654.00,"8,013,560.70",119,-3.0,22.0,-0.46,3.41,-0.54,"1,150.00",434.00,,
2022-08-22,214,UMRH,36.15,640.0,655.0,640.0,651.0,646.58,"5,227.00",651.00,"3,379,657.80",61,0.0,15.0,0.0,2.34,0.68,"1,150.00",434.00,,
2022-08-23,214,UMRH,28.35,642.0,651.0,640.0,640.0,643.60,"3,604.00",651.00,"2,319,547.60",75,-11.0,11.0,-1.69,1.72,-0.56,"1,150.00",434.00,,
2022-08-24,215,UMRH,30.47,652.8,665.0,642.1,643.1,648.52,"7,747.00",640.00,"5,024,121.10",81,3.1,22.9,0.48,3.57,-0.84,"1,150.00",434.00,,
2022-08-25,211,UMRH,34.41,644.0,657.9,622.2,629.0,637.81,"13,493.00",643.10,"8,606,028.00",115,-14.1,35.7,-2.19,5.74,-1.4,"1,150.00",434.00,,
2022-08-26,205,UMRH,30.77,616.5,633.0,610.0,614.0,615.29,"9,359.00",629.00,"5,758,490.00",89,-15.0,23.0,-2.38,3.77,-0.21,"1,150.00",434.00,,
2022-08-28,216,UMRH,30.18,622.0,622.0,590.0,590.0,599.65,"14,074.00",614.00,"8,439,501.20",141,-24.0,32.0,-3.91,5.42,-1.64,"1,150.00",434.00,,
2022-08-29,214,UMRH,26.59,601.0,601.0,579.0,579.0,584.13,"8,849.00",590.00,"5,168,989.10",96,-11.0,22.0,-1.86,3.8,-0.89,"1,150.00",434.00,,
2022-08-30,219,UMRH,24.76,573.0,601.0,573.0,579.0,586.39,"4,028.00",579.00,"2,361,981.50",65,0.0,28.0,0.0,4.89,-1.28,"1,150.00",434.00,,
2022-08-31,216,UMRH,29.94,570.0,585.0,558.6,568.0,566.17,"13,357.00",579.00,"7,562,298.60",128,-11.0,26.4,-1.9,4.73,0.32,"1,150.00",434.00,,
2022-09-01,217,UMRH,33.38,557.0,576.0,550.1,565.0,558.99,"8,076.00",568.00,"4,514,415.60",94,-3.0,25.9,-0.53,4.71,1.06,"1,150.00",434.00,,
2022-09-02,211,UMRH,30.94,560.0,569.0,557.0,558.5,559.41,"4,330.00",565.00,"2,422,236.00",30,-6.5,12.0,-1.15,2.15,-0.16,"1,150.00",434.00,,
2022-09-04,219,UMRH,33.46,558.5,574.0,555.0,562.1,563.76,"7,130.00",558.50,"4,019,585.50",72,3.6,19.0,0.64,3.42,-0.29,"1,150.00",434.00,,
2022-09-05,216,UMRH,35.91,560.0,573.0,555.0,555.4,564.35,"8,800.00",562.10,"4,966,278.40",91,-6.7,18.0,-1.19,3.24,-1.61,"1,150.00",434.00,,
2022-09-06,219,UMRH,32.7,563.0,563.0,538.1,543.0,546.53,"6,922.00",555.40,"3,783,087.80",84,-12.4,24.9,-2.23,4.63,-0.65,"1,150.00",434.00,,
2022-09-07,216,UMRH,30.93,543.0,547.9,525.1,525.1,533.61,"7,148.00",543.00,"3,814,259.00",81,-17.9,22.8,-3.3,4.34,-1.62,"1,150.00",434.00,,
2022-09-08,219,UMRH,31.41,521.5,536.0,516.1,525.0,528.93,"11,281.00",525.10,"5,966,872.90",103,-0.1,19.9,-0.02,3.86,-0.75,"1,150.00",434.00,,
2022-09-11,213,UMRH,31.39,533.0,543.0,520.1,528.0,531.21,"5,442.00",525.00,"2,890,819.40",78,3.0,22.9,0.57,4.4,-0.61,"1,150.00",434.00,,
2022-09-12,217,UMRH,39.35,519.3,560.1,510.7,550.0,519.92,"8,394.00",528.00,"4,364,208.50",99,22.0,49.4,4.17,9.67,5.47,"1,150.00",434.00,,
2022-09-13,223,UMRH,45.08,550.0,557.0,530.0,541.1,538.77,"17,180.00",550.00,"9,256,148.10",131,-8.9,27.0,-1.62,5.09,0.43,"1,150.00",434.00,,
2022-09-14,219,UMRH,43.23,549.9,570.0,541.0,565.0,555.53,"7,004.00",541.10,"3,890,902.40",129,23.9,29.0,4.42,5.36,1.68,"1,150.00",434.00,,
2022-09-15,224,UMRH,42.85,569.9,576.0,524.3,528.0,538.48,"13,722.00",565.00,"7,389,068.50",144,-37.0,51.7,-6.55,9.86,-1.99,"1,150.00",434.00,,
2022-09-16,213,UMRH,34.0,517.5,520.0,501.1,512.0,510.87,"7,869.00",528.00,"4,020,052.70",94,-16.0,18.9,-3.03,3.77,0.22,"1,150.00",434.00,,
2022-09-18,221,UMRH,30.67,513.0,513.0,477.1,480.0,490.37,"11,625.00",512.00,"5,700,527.30",154,-32.0,35.9,-6.25,7.52,-2.16,"1,150.00",434.00,,
2022-09-20,223,UMRH,28.39,480.0,480.0,462.0,462.0,468.18,"12,589.00",480.00,"5,893,964.30",88,-18.0,18.0,-3.75,3.9,-1.34,"1,150.00",434.00,,
2022-09-21,218,UMRH,32.4,470.0,480.0,455.1,469.0,465.86,"9,228.00",462.00,"4,298,965.60",62,7.0,24.9,1.52,5.47,0.67,"1,150.00",434.00,,
2022-09-22,222,UMRH,29.14,473.0,475.7,454.0,454.0,465.66,"6,284.00",469.00,"2,926,178.10",62,-15.0,21.70,-3.2,4.78,-2.57,"1,150.00",434.00,,
2022-09-25,220,UMRH,29.35,445.5,450.0,440.1,441.0,444.37,"7,008.00",454.00,"3,114,137.00",71,-13.0,9.9,-2.86,2.25,-0.76,"1,150.00",434.00,,
2022-09-27,221,UMRH,35.51,442.0,458.0,441.0,450.0,449.58,"8,270.00",441.00,"3,718,062.20",81,9.0,17.0,2.04,3.85,0.09,"1,150.00",434.00,,
2022-09-28,213,UMRH,31.43,455.0,455.0,448.0,450.0,450.35,"3,333.00",450.00,"1,501,014.00",33,0.0,7.0,0.0,1.56,-0.08,"1,150.00",434.00,,
2022-09-29,215,UMRH,33.39,450.0,455.0,442.0,445.0,445.36,"4,332.00",450.00,"1,929,296.10",41,-5.0,13.0,-1.11,2.94,-0.08,"1,150.00",434.00,,
2022-10-09,216,UMRH,40.52,453.9,459.9,453.0,458.5,456.05,"2,845.00",445.00,"1,297,458.20",27,13.5,6.9,3.03,1.52,0.53,"1,150.00",434.00,,
2022-10-10,224,UMRH,38.4,460.0,467.6,444.2,444.2,452.05,"5,415.00",458.50,"2,447,852.00",50,-14.3,23.4,-3.12,5.27,-1.77,"1,150.00",434.00,,
2022-10-11,221,UMRH,31.87,440.1,445.0,440.1,444.8,443.90,683.00,444.20,"303,185.50",16,0.6,4.9,0.14,1.11,0.2,"1,150.00",434.00,,
2022-10-12,215,UMRH,34.21,444.0,450.0,442.1,450.0,446.04,930.00,444.80,"414,820.50",16,5.2,7.9,1.17,1.79,0.88,"1,150.00",434.00,,
2022-10-13,214,UMRH,35.57,455.0,462.0,450.0,455.0,452.64,"2,153.00",450.00,"974,531.00",34,5.0,12.0,1.11,2.67,0.52,"1,150.00",434.00,,
2022-10-16,213,UMRH,38.94,448.0,453.0,440.2,449.0,445.72,"2,563.00",455.00,"1,142,379.60",34,-6.00,12.8,-1.32,2.91,0.73,"1,150.00",434.00,,
2022-10-17,212,UMRH,33.69,457.7,457.7,440.0,443.1,446.35,963.00,449.00,"429,838.00",16,-5.9,17.7,-1.31,4.02,-0.73,"1,150.00",434.00,,
2022-10-19,208,UMRH,34.12,439.9,441.6,426.5,427.0,433.89,"2,930.00",443.10,"1,271,303.00",41,-16.1,15.1,-3.63,3.54,-1.61,"1,150.00",426.50,,
2022-10-20,212,UMRH,32.76,435.0,435.0,410.7,410.7,416.09,"4,369.00",427.00,"1,817,892.50",47,-16.3,24.3,-3.82,5.92,-1.31,"1,150.00",410.70,,
2022-10-23,214,UMRH,31.86,410.0,417.0,404.0,406.0,407.18,"3,010.00",410.70,"1,225,621.50",31,-4.7,13.0,-1.14,3.22,-0.29,"1,150.00",404.00,,
